file,condition,alpha,domain,metric,value,n,k_inferred,wilson_lo,wilson_hi,boot_lo,boot_hi,half_width
crowspairs_gemma.csv,baseline,0.0,race,ss,56.007751937984494,516,289,51.69610463893364,60.23060858256517,51.74418604651163,60.27131782945736,4.263565891472865
crowspairs_gemma.csv,baseline,0.0,profession,ss,63.95348837209303,172,110,56.54550037434451,70.75181638014494,56.97674418604651,70.93023255813954,6.976744186046513
crowspairs_gemma.csv,baseline,0.0,gender,ss,51.14503816793893,262,134,45.11959909953636,57.13738520479929,45.41984732824427,57.25190839694656,5.916030534351144
crowspairs_gemma.csv,baseline,0.0,religion,ss,63.80952380952381,105,67,54.28099778622195,72.36326104145023,54.285714285714285,73.33333333333333,9.523809523809522
crowspairs_gemma.csv,baseline,0.0,overall,ss,56.872037914691944,1055,600,53.863945545884874,59.8302670099303,53.93364928909953,59.810426540284354,2.938388625592413
crowspairs_gemma.csv,ensemble_K4,5.0,race,ss,54.06976744186046,516,279,49.75568877612112,58.3236975997329,49.8062015503876,58.333333333333336,4.263565891472869
crowspairs_gemma.csv,ensemble_K4,5.0,profession,ss,63.95348837209303,172,110,56.54550037434451,70.75181638014494,56.97674418604651,70.93023255813954,6.976744186046513
crowspairs_gemma.csv,ensemble_K4,5.0,gender,ss,54.961832061068705,262,144,48.908924739490026,60.871340579297815,49.23664122137404,61.06870229007634,5.9160305343511475
crowspairs_gemma.csv,ensemble_K4,5.0,religion,ss,64.76190476190476,105,68,55.25114869310618,73.23064522612962,55.23809523809524,74.28571428571429,9.523809523809526
crowspairs_gemma.csv,ensemble_K4,5.0,overall,ss,56.96682464454976,1055,601,53.959183242445754,59.92391500379446,54.02843601895735,59.90521327014218,2.938388625592413
crowspairs_gemma.csv,ensemble_K4,10.0,race,ss,51.35658914728682,516,265,47.04997440088361,55.643154391067725,47.093023255813954,55.62015503875969,4.263565891472869
crowspairs_gemma.csv,ensemble_K4,10.0,profession,ss,62.2093023255814,172,107,54.77110652374022,69.11404563643804,54.65116279069767,69.18604651162791,7.267441860465119
crowspairs_gemma.csv,ensemble_K4,10.0,gender,ss,58.396946564885496,262,153,52.349284245628795,64.20193398616603,52.29007633587786,64.12213740458014,5.91603053435114
crowspairs_gemma.csv,ensemble_K4,10.0,religion,ss,64.76190476190476,105,68,55.25114869310618,73.23064522612962,55.23809523809524,74.28571428571429,9.523809523809526
crowspairs_gemma.csv,ensemble_K4,10.0,overall,ss,56.208530805687204,1055,593,53.197591871376396,59.17442085146353,53.27014218009478,59.14691943127962,2.9383886255924203
crowspairs_gpt2.csv,baseline,0.0,race,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_gpt2.csv,baseline,0.0,profession,ss,61.627906976744185,172,106,54.18179440123243,68.5659695608421,54.06976744186046,68.6046511627907,7.267441860465119
crowspairs_gpt2.csv,baseline,0.0,gender,ss,48.47328244274809,262,127,42.48765930029835,54.50302829392078,42.36641221374045,54.20801526717543,5.92080152671749
crowspairs_gpt2.csv,baseline,0.0,religion,ss,60.0,105,63,50.43671983324414,68.85739862817366,50.476190476190474,69.52380952380952,9.523809523809522
crowspairs_gpt2.csv,baseline,0.0,overall,ss,52.51184834123223,1055,554,49.49488729117085,55.510583505092626,49.573459715639814,55.54502369668246,2.9857819905213248
crowspairs_gpt2.csv,ensemble_K4,0.75,race,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_gpt2.csv,ensemble_K4,0.75,profession,ss,63.95348837209303,172,110,56.54550037434451,70.75181638014494,56.97674418604651,70.93023255813954,6.976744186046513
crowspairs_gpt2.csv,ensemble_K4,0.75,gender,ss,64.50381679389314,262,169,58.53839851920475,70.05006933571356,58.778625954198475,70.22900763358778,5.725190839694655
crowspairs_gpt2.csv,ensemble_K4,0.75,religion,ss,60.95238095238095,105,64,51.39244529196772,69.7392082610137,51.42857142857142,70.47619047619048,9.523809523809529
crowspairs_gpt2.csv,ensemble_K4,0.75,overall,ss,56.96682464454976,1055,601,53.959183242445754,59.92391500379446,54.02843601895735,59.90521327014218,2.938388625592413
crowspairs_gpt2.csv,ensemble_K4,1.5,race,ss,52.51937984496124,516,271,48.2080212652903,56.79350363404794,48.25581395348838,56.78294573643411,4.263565891472865
