condition,alpha,domain,ss,n,skipped
baseline,0.0,race,52.51937984496124,516,0
baseline,0.0,profession,57.55813953488372,172,0
baseline,0.0,gender,57.63358778625954,262,0
baseline,0.0,religion,59.04761904761905,105,0
baseline,0.0,overall,55.26066350710901,1055,0
ensemble_K4,5.0,race,50.775193798449614,516,0
ensemble_K4,5.0,profession,54.651162790697676,172,0
ensemble_K4,5.0,gender,32.44274809160305,262,0
ensemble_K4,5.0,religion,58.095238095238095,105,0
ensemble_K4,5.0,overall,47.58293838862559,1055,0
ensemble_K4,10.0,race,47.86821705426357,516,0
ensemble_K4,10.0,profession,52.325581395348834,172,0
ensemble_K4,10.0,gender,32.82442748091603,262,0
ensemble_K4,10.0,religion,60.95238095238095,105,0
ensemble_K4,10.0,overall,46.161137440758296,1055,0
