condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.968992248062015,516,0
baseline,0.0,profession,66.86046511627907,172,0
baseline,0.0,gender,54.19847328244275,262,0
baseline,0.0,religion,74.28571428571429,105,0
baseline,0.0,overall,56.682464454976305,1055,0
routed_K4,10.0,race,38.75968992248062,516,0
routed_K4,10.0,profession,50.0,172,0
routed_K4,10.0,gender,54.58015267175573,262,0
routed_K4,10.0,religion,72.38095238095238,105,0
routed_K4,10.0,overall,47.867298578199055,1055,0
routed_K4,20.0,race,30.03875968992248,516,0
routed_K4,20.0,profession,49.41860465116279,172,0
routed_K4,20.0,gender,54.58015267175573,262,0
routed_K4,20.0,religion,60.0,105,0
routed_K4,20.0,overall,42.274881516587676,1055,0
