condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.968992248062015,516,0
baseline,0.0,profession,66.86046511627907,172,0
baseline,0.0,gender,54.19847328244275,262,0
baseline,0.0,religion,74.28571428571429,105,0
baseline,0.0,overall,56.682464454976305,1055,0
routed_calib,5.339611022335504,race,42.82945736434109,516,0
routed_calib,5.174117694076995,profession,56.97674418604651,172,0
routed_calib,6.08306394230744,gender,55.343511450381676,262,0
routed_calib,6.993752762476704,religion,72.38095238095238,105,0
routed_calib,-1.0,overall,51.18483412322275,1055,0
