condition,alpha,domain,ss,n,skipped
baseline,0.0,race,52.51937984496124,516,0
baseline,0.0,profession,57.55813953488372,172,0
baseline,0.0,gender,57.63358778625954,262,0
baseline,0.0,religion,59.04761904761905,105,0
baseline,0.0,overall,55.26066350710901,1055,0
routed_calib,6.441818849274373,race,32.17054263565891,516,0
routed_calib,4.748909757461741,profession,58.13953488372093,172,0
routed_calib,6.379774974269576,gender,45.80152671755725,262,0
routed_calib,6.671015642321855,religion,58.095238095238095,105,0
routed_calib,-1.0,overall,42.3696682464455,1055,0
