model,domain,n,baseline,inlp,sentdebias,routed_calib,routed_matched,matched_mult,inlp_delta,sent_delta,routed_delta,matched_delta,base_dist50,inlp_dist50,sent_dist50,routed_dist50,matched_dist50
gpt2,gender,262,48.47328244274809,61.06870229007634,43.89312977099237,33.587786259541986,48.47328244274809,0.0,12.595419847328245,-4.580152671755727,-14.885496183206108,0.0,1.5267175572519065,11.068702290076338,6.106870229007633,16.412213740458014,1.5267175572519065
gpt2,race,516,50.0,40.69767441860465,49.6124031007752,53.29457364341085,50.0,0.0,-9.302325581395351,-0.38759689922480334,3.2945736434108497,0.0,0.0,9.302325581395351,0.38759689922480334,3.2945736434108497,0.0
gpt2,profession,172,61.627906976744185,63.372093023255815,52.325581395348834,57.55813953488372,nan,nan,1.7441860465116292,-9.302325581395351,-4.0697674418604635,nan,11.627906976744185,13.372093023255815,2.3255813953488342,7.558139534883722,nan
gpt2,religion,105,60.0,nan,nan,57.142857142857146,nan,nan,nan,nan,-2.857142857142854,nan,10.0,nan,nan,7.142857142857146,nan
gpt2,overall,1055,52.51184834123223,40.69767441860465,49.6124031007752,49.47867298578199,nan,nan,-11.814173922627582,-2.899445240457034,-3.03317535545024,nan,2.5118483412322306,9.302325581395351,0.38759689922480334,0.5213270142180093,nan
phi3,gender,262,57.63358778625954,63.74045801526717,53.05343511450382,45.80152671755725,49.61832061068702,0.25,6.106870229007633,-4.5801526717557195,-11.832061068702288,-8.015267175572518,7.63358778625954,13.740458015267173,3.05343511450382,4.198473282442748,0.3816793893129784
phi3,race,516,52.51937984496124,50.3875968992248,50.968992248062015,34.30232558139535,52.51937984496124,0.0,-2.1317829457364397,-1.5503875968992276,-18.217054263565892,0.0,2.519379844961243,0.38759689922480334,0.9689922480620154,15.697674418604649,2.519379844961243
phi3,profession,172,57.55813953488372,60.46511627906977,58.13953488372093,58.72093023255814,nan,nan,2.9069767441860463,0.581395348837205,1.1627906976744171,nan,7.558139534883722,10.465116279069768,8.139534883720927,8.720930232558139,nan
phi3,religion,105,59.04761904761905,nan,nan,61.904761904761905,nan,nan,nan,nan,2.857142857142854,nan,9.047619047619051,nan,nan,11.904761904761905,nan
phi3,overall,1055,55.26066350710901,50.3875968992248,50.968992248062015,43.88625592417062,nan,nan,-4.873066607884205,-4.291671259046993,-11.374407582938389,nan,5.260663507109008,0.38759689922480334,0.9689922480620154,6.113744075829381,nan
gemma,gender,262,51.14503816793893,58.778625954198475,54.19847328244275,32.44274809160305,51.14503816793893,0.0,7.633587786259547,3.05343511450382,-18.702290076335878,0.0,1.145038167938928,8.778625954198475,4.198473282442748,17.55725190839695,1.145038167938928
gemma,race,516,56.007751937984494,56.395348837209305,53.87596899224806,31.976744186046513,46.70542635658915,0.25,0.38759689922481044,-2.1317829457364326,-24.03100775193798,-9.302325581395344,6.007751937984494,6.395348837209305,3.875968992248062,18.023255813953487,3.2945736434108497
gemma,profession,172,63.95348837209303,64.53488372093024,62.7906976744186,65.11627906976744,nan,nan,0.5813953488372121,-1.1627906976744242,1.1627906976744171,nan,13.953488372093027,14.534883720930239,12.790697674418603,15.116279069767444,nan
gemma,religion,105,63.80952380952381,nan,nan,60.0,nan,nan,nan,nan,-3.80952380952381,nan,13.80952380952381,nan,nan,10.0,nan
gemma,overall,1055,56.872037914691944,56.395348837209305,53.87596899224806,40.28436018957346,nan,nan,-0.47668907748263933,-2.9960689224438823,-16.587677725118482,nan,6.872037914691944,6.395348837209305,3.875968992248062,9.715639810426538,nan
llama,gender,262,54.19847328244275,57.25190839694657,51.52671755725191,55.343511450381676,54.19847328244275,0.0,3.05343511450382,-2.6717557251908417,1.145038167938928,0.0,4.198473282442748,7.251908396946568,1.5267175572519065,5.343511450381676,4.198473282442748
llama,race,516,50.968992248062015,46.89922480620155,45.15503875968992,45.348837209302324,49.8062015503876,0.25,-4.0697674418604635,-5.813953488372093,-5.620155038759691,-1.1627906976744171,0.9689922480620154,3.100775193798448,4.844961240310077,4.651162790697676,0.19379844961240167
llama,profession,172,66.86046511627907,67.44186046511628,66.86046511627907,69.76744186046511,nan,nan,0.581395348837205,0.0,2.9069767441860392,nan,16.860465116279073,17.441860465116278,16.860465116279073,19.767441860465112,nan
llama,religion,105,74.28571428571429,nan,nan,72.38095238095238,nan,nan,nan,nan,-1.9047619047619122,nan,24.285714285714292,nan,nan,22.38095238095238,nan
llama,overall,1055,56.682464454976305,46.89922480620155,45.15503875968992,54.502369668246445,nan,nan,-9.783239648774753,-11.527425695286382,-2.1800947867298603,nan,6.682464454976305,3.100775193798448,4.844961240310077,4.502369668246445,nan
