Model: gpt2
L9H7 plane (SV1, SV2): sigma_1=8.869  sigma_2=8.459
tokens: ' he'=339  ' she'=673

BASELINE:
  neutral: +1.188
  plus: +5.312
  minus: -4.312

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.354    +2.750    -3.688
   30.0 |    +0.604    +3.188    -3.812
   60.0 |    +1.042    +4.188    -4.250
   90.0 |    +1.604    +5.688    -4.625
  120.0 |    +2.250    +6.500    -4.312
  150.0 |    +2.646    +6.562    -3.000
  180.0 |    +2.667    +6.250    -2.375
  210.0 |    +2.521    +5.875    -2.188
  240.0 |    +1.958    +5.562    -2.688
  270.0 |    +0.958    +4.812    -3.500
  300.0 |    +0.271    +3.750    -4.062
  330.0 |    +0.146    +3.000    -4.062
  fit: amp=1.302  phase=166.2 deg  argmin=330.0  argmax=180.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.396    +1.438    -2.125
   30.0 |    +0.625    +2.062    -2.250
   60.0 |    +1.583    +3.812    -2.562
   90.0 |    +2.979    +5.750    -3.812
  120.0 |    +2.271    +5.438    -4.125
  150.0 |    +2.729    +4.750    -2.438
  180.0 |    +2.479    +3.625    -2.062
  210.0 |    +2.146    +3.000    -1.938
  240.0 |    +1.771    +3.562    -2.062
  270.0 |    +0.542    +3.562    -2.750
  300.0 |    -0.479    +1.750    -3.250
  330.0 |    +0.104    +1.438    -2.250
  fit: amp=1.473  phase=143.9 deg  argmin=300.0  argmax=90.0
