Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
   1  10   9 (0,3)   5.11  14.17  1.417  0.997    0.3    +4.7
   2  10   9 (0,1)   5.07  14.04  1.404  0.997    0.2    -6.0
   3  10   9 (0,2)   5.08  13.92  1.392  0.997    0.9    -8.9
   4   9   7 (1,3)   4.65  12.58  1.258  0.996    0.1  -174.1
   5   9   7 (0,1)   4.69  12.50  1.250  0.995    0.2  -103.0
   6   9   7 (1,2)   4.60  12.20  1.220  0.995    0.7  -177.0
   7  11   1 (1,2)   2.04   5.32  0.532  0.994    4.3   +52.1
   8  11   1 (2,3)   1.87   4.50  0.450  0.990    1.8   -25.1
   9  11   1 (0,2)   1.78   4.49  0.449  0.993    3.8   +69.9
  10  11   1 (1,3)   1.40   4.10  0.410  0.999    1.4   -33.9
  11  11   1 (0,1)   1.30   3.74  0.374  0.998    1.2   +65.8
  12   9   7 (0,3)   1.11   3.06  0.306  0.997    6.1  -145.8
  13  11   1 (0,3)   0.93   2.74  0.274  0.999    0.2   -53.5
  14   9   7 (0,2)   0.97   2.35  0.235  0.990    1.6  -179.4
  15  10   9 (1,2)   1.05   2.13  0.213  0.972    8.2  -125.5
  16  10   9 (1,3)   0.71   2.12  0.212  0.999    3.5  +136.5

All results (sorted by amp_slope desc):
  L   H      SV   A_lo   A_hi  slope     R2   dphi  pass
 10   9 (0,3)   5.11  14.17  1.417  0.997    0.3   YES
 10   9 (0,1)   5.07  14.04  1.404  0.997    0.2   YES
 10   9 (0,2)   5.08  13.92  1.392  0.997    0.9   YES
  9   7 (1,3)   4.65  12.58  1.258  0.996    0.1   YES
  9   7 (0,1)   4.69  12.50  1.250  0.995    0.2   YES
  9   7 (1,2)   4.60  12.20  1.220  0.995    0.7   YES
 11   1 (1,2)   2.04   5.32  0.532  0.994    4.3   YES
 11   1 (2,3)   1.87   4.50  0.450  0.990    1.8   YES
 11   1 (0,2)   1.78   4.49  0.449  0.993    3.8   YES
 11   1 (1,3)   1.40   4.10  0.410  0.999    1.4   YES
 11   1 (0,1)   1.30   3.74  0.374  0.998    1.2   YES
  9   7 (0,3)   1.11   3.06  0.306  0.997    6.1   YES
 11   1 (0,3)   0.93   2.74  0.274  0.999    0.2   YES
  9   7 (0,2)   0.97   2.35  0.235  0.990    1.6   YES
