Model: gpt2
L10H9 plane (SV1, SV2): sigma_1=7.869  sigma_2=7.271
tokens: ' she'=673  ' they'=484

BASELINE:
  neutral: -0.062
  plus: +3.938
  minus: -3.667

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.896    +4.854    -2.625
   10.0 |    +0.938    +4.812    -2.521
   20.0 |    +1.000    +4.792    -2.333
   30.0 |    +1.000    +4.708    -2.229
   40.0 |    +0.979    +4.604    -2.208
   50.0 |    +0.896    +4.479    -2.188
   60.0 |    +0.792    +4.312    -2.229
   70.0 |    +0.646    +4.146    -2.292
   80.0 |    +0.500    +4.000    -2.417
   90.0 |    +0.312    +3.812    -2.562
  100.0 |    +0.146    +3.625    -2.729
  110.0 |    -0.042    +3.458    -2.958
  120.0 |    -0.229    +3.292    -3.167
  130.0 |    -0.458    +3.125    -3.417
  140.0 |    -0.646    +2.958    -3.667
  150.0 |    -0.792    +2.875    -3.938
  160.0 |    -0.938    +2.833    -4.188
  170.0 |    -1.083    +2.812    -4.417
  180.0 |    -1.188    +2.833    -4.646
  190.0 |    -1.292    +2.833    -4.812
  200.0 |    -1.333    +2.917    -4.917
  210.0 |    -1.333    +3.042    -5.042
  220.0 |    -1.292    +3.167    -5.104
  230.0 |    -1.250    +3.333    -5.104
  240.0 |    -1.125    +3.479    -5.062
  250.0 |    -0.958    +3.688    -5.021
  260.0 |    -0.812    +3.854    -4.896
  270.0 |    -0.646    +4.042    -4.750
  280.0 |    -0.438    +4.229    -4.583
  290.0 |    -0.229    +4.375    -4.354
  300.0 |    -0.021    +4.542    -4.104
  310.0 |    +0.188    +4.646    -3.854
  320.0 |    +0.354    +4.750    -3.583
  330.0 |    +0.521    +4.812    -3.354
  340.0 |    +0.688    +4.854    -3.125
  350.0 |    +0.812    +4.896    -2.854
  fit: amp=1.162  phase=24.8 deg  argmin=200.0  argmax=20.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +2.625    +6.656    -0.708
   10.0 |    +2.708    +6.521    -0.333
   20.0 |    +2.729    +6.333    -0.104
   30.0 |    +2.646    +6.062    -0.021
   40.0 |    +2.500    +5.750    +0.000
   50.0 |    +2.271    +5.417    -0.083
   60.0 |    +2.021    +5.021    -0.208
   70.0 |    +1.688    +4.625    -0.375
   80.0 |    +1.271    +4.104    -0.604
   90.0 |    +0.771    +3.562    -0.917
  100.0 |    +0.354    +3.000    -1.333
  110.0 |    -0.083    +2.479    -1.812
  120.0 |    -0.479    +2.062    -2.375
  130.0 |    -0.896    +1.771    -3.125
  140.0 |    -1.333    +1.521    -3.875
  150.0 |    -1.750    +1.333    -4.604
  160.0 |    -2.167    +1.208    -5.354
  170.0 |    -2.604    +1.083    -6.000
  180.0 |    -3.000    +1.042    -6.604
  190.0 |    -3.292    +1.021    -7.083
  200.0 |    -3.583    +1.042    -7.438
  210.0 |    -3.708    +1.167    -7.667
  220.0 |    -3.760    +1.417    -7.771
  230.0 |    -3.667    +1.833    -7.760
  240.0 |    -3.417    +2.375    -7.625
  250.0 |    -3.010    +2.958    -7.417
  260.0 |    -2.510    +3.542    -7.125
  270.0 |    -1.969    +4.062    -6.740
  280.0 |    -1.396    +4.625    -6.240
  290.0 |    -0.750    +5.167    -5.656
  300.0 |    -0.104    +5.615    -4.958
  310.0 |    +0.562    +6.031    -4.208
  320.0 |    +1.146    +6.302    -3.438
  330.0 |    +1.646    +6.521    -2.583
  340.0 |    +2.083    +6.667    -1.875
  350.0 |    +2.396    +6.698    -1.208
  fit: amp=3.172  phase=26.9 deg  argmin=220.0  argmax=20.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +7.979   +12.458    +5.396
   10.0 |    +7.875   +12.146    +5.250
   20.0 |    +7.562   +11.521    +4.938
   30.0 |    +7.062   +10.708    +4.583
   40.0 |    +6.531    +9.750    +4.167
   50.0 |    +5.844    +8.646    +3.646
   60.0 |    +4.938    +7.521    +2.875
   70.0 |    +3.854    +6.292    +2.042
   80.0 |    +2.646    +4.896    +1.375
   90.0 |    +1.312    +3.208    +0.646
  100.0 |    +0.438    +2.083    -0.146
  110.0 |    -0.375    +1.188    -0.958
  120.0 |    -1.125    +0.271    -1.938
  130.0 |    -2.021    -0.458    -3.292
  140.0 |    -3.146    -1.125    -5.146
  150.0 |    -4.542    -1.771    -7.562
  160.0 |    -6.156    -2.562   -10.042
  170.0 |    -7.812    -3.500   -12.083
  180.0 |    -9.302    -4.458   -13.812
  190.0 |   -10.542    -5.333   -14.917
  200.0 |   -11.354    -5.854   -15.667
  210.0 |   -11.833    -6.062   -15.958
  220.0 |   -11.896    -6.000   -15.875
  230.0 |   -11.688    -5.625   -15.479
  240.0 |   -11.188    -4.854   -14.812
  250.0 |   -10.146    -3.146   -13.979
  260.0 |    -8.604    -1.104   -13.021
  270.0 |    -7.052    +0.917   -11.750
  280.0 |    -5.318    +3.156   -10.062
  290.0 |    -3.422    +5.448    -8.229
  300.0 |    -1.281    +7.646    -6.250
  310.0 |    +0.958    +9.562    -4.021
  320.0 |    +3.198   +10.896    -1.552
  330.0 |    +5.219   +11.771    +1.021
  340.0 |    +6.771   +12.250    +3.448
  350.0 |    +7.688   +12.500    +4.948
  fit: amp=9.491  phase=28.4 deg  argmin=220.0  argmax=0.0
