Model: meta-llama/Llama-3.2-3B
Planes scanned: 4032  (layers=0..27, heads=0..23, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null mode: top4
Random-plane null: 2016 planes (3 seeds x 672 heads) -- 3 pass (0.1%)
Null amp_slope: mean=0.011 p95=0.024 max=1.019
PASSED planes: 9 / 4032 (0.2%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
   1  26  14 (2,3)   3.01   9.36  0.936  1.000    2.4  +161.6
   2  26  14 (1,2)   2.86   9.25  0.925  1.000    0.1   -91.0
   3  26  14 (0,2)   2.85   9.11  0.911  1.000    6.4   -82.2
   4  20  13 (0,1)   2.61   5.14  0.514  0.969    0.0   -29.8
   5  20  13 (0,3)   2.36   4.48  0.448  0.963    2.7    -4.7
   6  20  13 (1,3)   1.40   3.35  0.335  0.989    6.7  -172.0
   7  26  14 (1,3)   0.80   2.98  0.298  0.999    0.2   +94.3
   8  26  14 (0,3)   0.79   2.79  0.279  1.000    5.4   +85.6
   9  16  20 (0,2)   1.00   2.09  0.209  0.976    0.6  +128.9

All results (sorted by amp_slope desc):
  L   H      SV   A_lo   A_hi  slope     R2   dphi  pass
 26  14 (2,3)   3.01   9.36  0.936  1.000    2.4   YES
 26  14 (1,2)   2.86   9.25  0.925  1.000    0.1   YES
 26  14 (0,2)   2.85   9.11  0.911  1.000    6.4   YES
 20  13 (0,1)   2.61   5.14  0.514  0.969    0.0   YES
 20  13 (0,3)   2.36   4.48  0.448  0.963    2.7   YES
 20  13 (0,2)   2.35   4.08  0.408  0.948    4.9    no
 20  13 (1,3)   1.40   3.35  0.335  0.989    6.7   YES
 26  14 (1,3)   0.80   2.98  0.298  0.999    0.2   YES
 20  13 (1,2)   1.47   2.98  0.298  0.972   12.7    no
 26  14 (0,3)   0.79   2.79  0.279  1.000    5.4   YES
 16  20 (0,2)   1.00   2.09  0.209  0.976    0.6   YES
 16  20 (1,2)   0.87   1.91  0.191  0.981    4.3    no
 16   8 (2,3)   0.67   1.79  0.179  0.996    0.6    no
 16  20 (2,3)   0.97   1.67  0.167  0.946   11.9    no
 16  20 (0,3)   0.88   1.66  0.166  0.963   12.9    no
 16  20 (0,1)   0.73   1.61  0.161  0.981    2.1    no
 14  14 (1,2)   0.16   1.51  0.151  0.966   23.5    no
 14  14 (0,1)   0.14   1.46  0.146  0.961   31.5    no
 16   8 (1,3)   0.54   1.38  0.138  0.993    0.6    no
 16   8 (0,3)   0.52   1.37  0.137  0.995    8.0    no
 14  13 (0,3)   0.14   1.27  0.127  0.967    9.4    no
