Model: microsoft/Phi-3-mini-4k-instruct   L24H28 SV3,7  sigma=3.999,3.750
tokens: items=4452  areas=10161  operations=6931  teams=10907
prompts: 3

 alpha     g_A1   g_phi1     g_A2   g_phi2   g_A2/A1     h_A1   h_phi1     h_A2   h_phi2   h_A2/A1
--------------------------------------------------------------------------------------------------------------
   1.0    0.142   -179.5    0.009   -102.8     0.063    0.181   -101.2    0.006    -57.1     0.032
   3.0    0.455   -179.5    0.007   -114.7     0.015    0.522    -98.8    0.016    -81.6     0.030
  10.0    1.577   -179.2    0.072   -103.9     0.045    1.638   -100.7    0.101    -94.6     0.062

Raw curves per alpha:
  alpha=1.0
       deg   g=l0-l180   h=l90-l270
       0.0      +1.547       -0.492
      10.0      +1.579       -0.542
      20.0      +1.548       -0.575
      30.0      +1.555       -0.600
      40.0      +1.573       -0.629
      50.0      +1.597       -0.648
      60.0      +1.606       -0.651
      70.0      +1.636       -0.661
      80.0      +1.676       -0.668
      90.0      +1.695       -0.649
     100.0      +1.740       -0.649
     110.0      +1.723       -0.628
     120.0      +1.769       -0.616
     130.0      +1.801       -0.593
     140.0      +1.819       -0.584
     150.0      +1.809       -0.513
     160.0      +1.838       -0.497
     170.0      +1.843       -0.469
     180.0      +1.845       -0.433
     190.0      +1.811       -0.419
     200.0      +1.843       -0.377
     210.0      +1.793       -0.367
     220.0      +1.779       -0.343
     230.0      +1.757       -0.335
     240.0      +1.778       -0.325
     250.0      +1.754       -0.295
     260.0      +1.713       -0.313
     270.0      +1.716       -0.286
     280.0      +1.670       -0.310
     290.0      +1.648       -0.322
     300.0      +1.642       -0.343
     310.0      +1.606       -0.367
     320.0      +1.583       -0.375
     330.0      +1.568       -0.435
     340.0      +1.568       -0.444
     350.0      +1.557       -0.486
  alpha=3.0
       deg   g=l0-l180   h=l90-l270
       0.0      +1.253       -0.537
      10.0      +1.236       -0.654
      20.0      +1.230       -0.742
      30.0      +1.286       -0.810
      40.0      +1.340       -0.881
      50.0      +1.378       -0.945
      60.0      +1.454       -0.967
      70.0      +1.521       -1.005
      80.0      +1.606       -1.025
      90.0      +1.698       -0.989
     100.0      +1.767       -0.973
     110.0      +1.835       -0.937
     120.0      +1.932       -0.873
     130.0      +1.987       -0.796
     140.0      +2.043       -0.739
     150.0      +2.070       -0.643
     160.0      +2.111       -0.551
     170.0      +2.142       -0.493
     180.0      +2.149       -0.408
     190.0      +2.118       -0.332
     200.0      +2.095       -0.238
     210.0      +2.092       -0.145
     220.0      +2.039       -0.104
     230.0      +1.988       -0.048
     240.0      +1.905       +0.009
     250.0      +1.859       +0.018
     260.0      +1.760       +0.018
     270.0      +1.681       +0.037
     280.0      +1.632       +0.025
     290.0      +1.545       -0.024
     300.0      +1.472       -0.055
     310.0      +1.385       -0.117
     320.0      +1.365       -0.180
     330.0      +1.293       -0.276
     340.0      +1.266       -0.375
     350.0      +1.240       -0.481
  alpha=10.0
       deg   g=l0-l180   h=l90-l270
       0.0      +0.087       -0.708
      10.0      +0.068       -1.027
      20.0      +0.158       -1.271
      30.0      +0.242       -1.530
      40.0      +0.391       -1.726
      50.0      +0.582       -1.899
      60.0      +0.835       -1.962
      70.0      +1.085       -2.005
      80.0      +1.398       -2.031
      90.0      +1.667       -1.979
     100.0      +1.976       -1.879
     110.0      +2.265       -1.735
     120.0      +2.503       -1.526
     130.0      +2.745       -1.304
     140.0      +2.972       -1.083
     150.0      +3.085       -0.828
     160.0      +3.203       -0.581
     170.0      +3.247       -0.293
     180.0      +3.246       -0.074
     190.0      +3.215       +0.177
     200.0      +3.098       +0.417
     210.0      +2.988       +0.601
     220.0      +2.810       +0.804
     230.0      +2.670       +0.986
     240.0      +2.430       +1.067
     250.0      +2.219       +1.147
     260.0      +1.992       +1.228
     270.0      +1.739       +1.241
     280.0      +1.478       +1.196
     290.0      +1.211       +1.134
     300.0      +0.984       +0.993
     310.0      +0.759       +0.803
     320.0      +0.555       +0.550
     330.0      +0.372       +0.246
     340.0      +0.230       -0.045
     350.0      +0.176       -0.382
