Model: microsoft/Phi-3-mini-4k-instruct
L24H28 plane (SV3, SV7): sigma_3=3.999  sigma_7=3.750
tokens: 'item'=2944  'operation'=5858

BASELINE:
  neutral: +4.786
  plus: +5.550
  minus: -3.532

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +4.505    +5.304    -3.773
   15.0 |    +4.490    +5.280    -3.784
   30.0 |    +4.494    +5.275    -3.779
   45.0 |    +4.519    +5.288    -3.756
   60.0 |    +4.562    +5.319    -3.718
   75.0 |    +4.619    +5.366    -3.666
   90.0 |    +4.688    +5.425    -3.606
  105.0 |    +4.763    +5.491    -3.541
  120.0 |    +4.839    +5.561    -3.474
  135.0 |    +4.911    +5.630    -3.412
  150.0 |    +4.974    +5.693    -3.358
  165.0 |    +5.025    +5.747    -3.316
  180.0 |    +5.059    +5.787    -3.289
  195.0 |    +5.075    +5.810    -3.278
  210.0 |    +5.071    +5.817    -3.285
  225.0 |    +5.048    +5.805    -3.308
  240.0 |    +5.007    +5.776    -3.346
  255.0 |    +4.951    +5.731    -3.397
  270.0 |    +4.883    +5.673    -3.457
  285.0 |    +4.809    +5.606    -3.522
  300.0 |    +4.732    +5.535    -3.587
  315.0 |    +4.658    +5.465    -3.649
  330.0 |    +4.593    +5.400    -3.703
  345.0 |    +4.541    +5.345    -3.745
  fit: amp=0.293  phase=-160.6 deg  argmin=15.0  argmax=195.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +3.916    +4.782    -4.249
   15.0 |    +3.868    +4.711    -4.285
   30.0 |    +3.885    +4.700    -4.270
   45.0 |    +3.964    +4.747    -4.203
   60.0 |    +4.100    +4.848    -4.089
   75.0 |    +4.279    +4.993    -3.936
   90.0 |    +4.489    +5.172    -3.753
  105.0 |    +4.714    +5.371    -3.555
  120.0 |    +4.940    +5.578    -3.355
  135.0 |    +5.152    +5.781    -3.167
  150.0 |    +5.337    +5.965    -3.005
  165.0 |    +5.485    +6.121    -2.880
  180.0 |    +5.586    +6.238    -2.800
  195.0 |    +5.634    +6.309    -2.770
  210.0 |    +5.624    +6.330    -2.792
  225.0 |    +5.559    +6.298    -2.863
  240.0 |    +5.440    +6.215    -2.978
  255.0 |    +5.276    +6.085    -3.130
  270.0 |    +5.076    +5.914    -3.307
  285.0 |    +4.851    +5.714    -3.499
  300.0 |    +4.618    +5.497    -3.693
  315.0 |    +4.391    +5.279    -3.876
  330.0 |    +4.189    +5.078    -4.037
  345.0 |    +4.026    +4.907    -4.164
  fit: amp=0.884  phase=-160.6 deg  argmin=15.0  argmax=195.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.547    +2.605    -5.795
   15.0 |    +1.370    +2.380    -5.934
   30.0 |    +1.458    +2.403    -5.909
   45.0 |    +1.796    +2.655    -5.712
   60.0 |    +2.337    +3.087    -5.349
   75.0 |    +3.008    +3.638    -4.844
   90.0 |    +3.736    +4.260    -4.233
  105.0 |    +4.476    +4.920    -3.567
  120.0 |    +5.208    +5.592    -2.898
  135.0 |    +5.911    +6.245    -2.276
  150.0 |    +6.542    +6.838    -1.743
  165.0 |    +7.048    +7.328    -1.336
  180.0 |    +7.386    +7.685    -1.086
  195.0 |    +7.540    +7.893    -1.008
  210.0 |    +7.506    +7.950    -1.105
  225.0 |    +7.290    +7.855    -1.361
  240.0 |    +6.907    +7.608    -1.750
  255.0 |    +6.377    +7.208    -2.241
  270.0 |    +5.726    +6.660    -2.803
  285.0 |    +4.979    +5.986    -3.403
  300.0 |    +4.171    +5.226    -4.008
  315.0 |    +3.353    +4.438    -4.583
  330.0 |    +2.595    +3.692    -5.094
  345.0 |    +1.971    +3.058    -5.508
  fit: amp=3.057  phase=-160.6 deg  argmin=15.0  argmax=195.0
