Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.702
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -2.479
  plus: +9.312
  minus: -7.500

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -2.917    +8.000    -7.688
   15.0 |    -2.979    +7.875    -7.750
   30.0 |    -2.938    +7.875    -7.750
   45.0 |    -2.938    +8.000    -7.812
   60.0 |    -2.917    +8.188    -7.812
   75.0 |    -2.833    +8.438    -7.875
   90.0 |    -2.688    +8.875    -7.812
  105.0 |    -2.562    +9.188    -7.750
  120.0 |    -2.438    +9.500    -7.625
  135.0 |    -2.292    +9.875    -7.562
  150.0 |    -2.167   +10.188    -7.500
  165.0 |    -2.062   +10.375    -7.375
  180.0 |    -2.000   +10.500    -7.250
  195.0 |    -1.875   +10.625    -7.188
  210.0 |    -1.812   +10.625    -7.125
  225.0 |    -1.854   +10.562    -7.000
  240.0 |    -1.938   +10.312    -7.000
  255.0 |    -2.125   +10.188    -6.938
  270.0 |    -2.208    +9.875    -7.062
  285.0 |    -2.333    +9.500    -7.188
  300.0 |    -2.500    +9.250    -7.250
  315.0 |    -2.604    +8.875    -7.375
  330.0 |    -2.708    +8.562    -7.438
  345.0 |    -2.833    +8.188    -7.625
  fit: amp=0.548  phase=-151.9 deg  argmin=15.0  argmax=210.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -3.667    +5.125    -7.938
   15.0 |    -3.833    +5.000    -8.250
   30.0 |    -3.771    +5.000    -8.312
   45.0 |    -3.708    +5.125    -8.312
   60.0 |    -3.562    +5.625    -8.312
   75.0 |    -3.312    +6.500    -8.250
   90.0 |    -3.062    +7.500    -8.250
  105.0 |    -2.708    +8.750    -8.188
  120.0 |    -2.333    +9.750    -7.938
  135.0 |    -1.917   +10.625    -7.750
  150.0 |    -1.521   +11.375    -7.500
  165.0 |    -1.146   +12.000    -7.188
  180.0 |    -0.854   +12.375    -6.688
  195.0 |    -0.667   +12.562    -6.312
  210.0 |    -0.646   +12.625    -6.000
  225.0 |    -0.750   +12.312    -5.688
  240.0 |    -0.917   +12.000    -5.625
  255.0 |    -1.271   +11.375    -5.688
  270.0 |    -1.625   +10.688    -5.938
  285.0 |    -2.104    +9.812    -6.188
  300.0 |    -2.479    +8.812    -6.688
  315.0 |    -2.875    +7.625    -7.000
  330.0 |    -3.229    +6.625    -7.438
  345.0 |    -3.521    +5.875    -7.750
  fit: amp=1.575  phase=-153.3 deg  argmin=15.0  argmax=210.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -5.812    +0.750    -8.438
   15.0 |    -6.271    +0.500    -8.812
   30.0 |    -6.292    +0.375    -8.875
   45.0 |    -5.979    +0.625    -8.688
   60.0 |    -5.458    +1.125    -8.375
   75.0 |    -4.792    +2.500    -8.312
   90.0 |    -4.000    +4.750    -8.312
  105.0 |    -2.854    +9.062    -8.312
  120.0 |    -1.417   +11.375    -8.125
  135.0 |    -0.229   +11.062    -7.500
  150.0 |    +0.521    +9.750    -6.562
  165.0 |    +0.792    +9.625    -5.688
  180.0 |    +0.833   +10.438    -5.062
  195.0 |    +0.708   +11.438    -4.375
  210.0 |    +0.708   +12.375    -3.938
  225.0 |    +0.625   +13.375    -3.812
  240.0 |    +0.354   +13.438    -4.125
  255.0 |    -0.083   +12.438    -4.375
  270.0 |    -0.771   +11.312    -4.500
  285.0 |    -1.750   +10.125    -4.688
  300.0 |    -2.500    +7.688    -5.000
  315.0 |    -3.271    +4.625    -5.812
  330.0 |    -4.104    +2.875    -6.875
  345.0 |    -5.083    +1.625    -7.812
  fit: amp=3.645  phase=-157.2 deg  argmin=30.0  argmax=180.0
