Model: microsoft/Phi-3-mini-4k-instruct
L28H1 plane (SV0, SV3): sigma_0=13.670  sigma_3=7.612
tokens: 'he'=540  'she'=1183

BASELINE:
  neutral: +1.208
  plus: +5.062
  minus: -5.208

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +3.250    +7.438    -3.708
   10.0 |    +3.250    +7.438    -3.708
   20.0 |    +3.104    +7.375    -3.792
   30.0 |    +2.958    +7.208    -3.875
   40.0 |    +2.771    +6.979    -4.021
   50.0 |    +2.500    +6.646    -4.208
   60.0 |    +2.229    +6.333    -4.417
   70.0 |    +1.917    +5.938    -4.667
   80.0 |    +1.583    +5.542    -4.938
   90.0 |    +1.271    +5.104    -5.188
  100.0 |    +0.958    +4.688    -5.500
  110.0 |    +0.646    +4.292    -5.792
  120.0 |    +0.417    +3.938    -5.938
  130.0 |    +0.188    +3.667    -6.146
  140.0 |    +0.000    +3.396    -6.292
  150.0 |    -0.167    +3.292    -6.500
  160.0 |    -0.271    +3.083    -6.521
  170.0 |    -0.312    +3.000    -6.625
  180.0 |    -0.375    +2.938    -6.646
  190.0 |    -0.354    +3.021    -6.604
  200.0 |    -0.292    +3.104    -6.542
  210.0 |    -0.208    +3.208    -6.458
  220.0 |    +0.000    +3.333    -6.312
  230.0 |    +0.125    +3.625    -6.167
  240.0 |    +0.354    +3.875    -5.958
  250.0 |    +0.625    +4.271    -5.688
  260.0 |    +0.875    +4.604    -5.438
  270.0 |    +1.208    +5.021    -5.208
  280.0 |    +1.500    +5.417    -4.833
  290.0 |    +1.854    +5.854    -4.667
  300.0 |    +2.188    +6.271    -4.375
  310.0 |    +2.458    +6.604    -4.188
  320.0 |    +2.729    +6.917    -4.000
  330.0 |    +2.938    +7.188    -3.854
  340.0 |    +3.125    +7.396    -3.792
  350.0 |    +3.188    +7.458    -3.625
  fit: amp=1.807  phase=1.0 deg  argmin=180.0  argmax=0.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +7.198   +11.438    -0.750
   10.0 |    +7.104   +11.292    -0.750
   20.0 |    +6.906   +11.104    -1.000
   30.0 |    +6.510   +10.708    -1.333
   40.0 |    +5.990   +10.229    -1.833
   50.0 |    +5.292    +9.500    -2.396
   60.0 |    +4.406    +8.667    -3.042
   70.0 |    +3.396    +7.625    -3.750
   80.0 |    +2.333    +6.417    -4.479
   90.0 |    +1.333    +5.146    -5.250
  100.0 |    +0.396    +4.021    -6.042
  110.0 |    -0.396    +2.958    -6.729
  120.0 |    -1.042    +2.208    -7.354
  130.0 |    -1.646    +1.583    -7.771
  140.0 |    -2.062    +1.125    -8.208
  150.0 |    -2.417    +0.750    -8.438
  160.0 |    -2.688    +0.583    -8.604
  170.0 |    -2.792    +0.417    -8.708
  180.0 |    -2.812    +0.375    -8.729
  190.0 |    -2.792    +0.417    -8.708
  200.0 |    -2.625    +0.542    -8.604
  210.0 |    -2.354    +0.708    -8.354
  220.0 |    -2.021    +0.958    -8.104
  230.0 |    -1.604    +1.458    -7.750
  240.0 |    -1.104    +1.917    -7.292
  250.0 |    -0.438    +2.792    -6.625
  260.0 |    +0.292    +3.792    -5.938
  270.0 |    +1.146    +5.000    -5.188
  280.0 |    +2.188    +6.333    -4.354
  290.0 |    +3.250    +7.521    -3.542
  300.0 |    +4.271    +8.625    -2.854
  310.0 |    +5.167    +9.521    -2.208
  320.0 |    +5.948   +10.250    -1.625
  330.0 |    +6.510   +10.792    -1.208
  340.0 |    +6.906   +11.104    -0.917
  350.0 |    +7.104   +11.312    -0.750
  fit: amp=5.145  phase=0.5 deg  argmin=180.0  argmax=0.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |   +15.896   +20.125   +12.458
   10.0 |   +15.792   +20.125   +12.375
   20.0 |   +15.396   +19.833   +11.792
   30.0 |   +14.625   +19.271   +10.750
   40.0 |   +13.479   +18.104    +9.083
   50.0 |   +12.042   +16.667    +6.625
   60.0 |   +10.250   +14.667    +3.312
   70.0 |    +8.094   +12.354    -0.021
   80.0 |    +5.146    +9.333    -2.812
   90.0 |    +1.521    +5.417    -5.479
  100.0 |    -1.542    +1.917    -7.771
  110.0 |    -3.729    -0.042    -9.292
  120.0 |    -5.219    -1.458   -10.333
  130.0 |    -6.188    -2.521   -11.104
  140.0 |    -6.896    -3.333   -11.562
  150.0 |    -7.479    -4.000   -11.958
  160.0 |    -7.917    -4.521   -12.188
  170.0 |    -8.083    -4.792   -12.417
  180.0 |    -8.104    -4.938   -12.458
  190.0 |    -8.021    -4.688   -12.292
  200.0 |    -7.750    -4.229   -12.208
  210.0 |    -7.229    -3.479   -11.917
  220.0 |    -6.521    -2.708   -11.354
  230.0 |    -5.604    -1.833   -10.792
  240.0 |    -4.562    -1.000   -10.042
  250.0 |    -3.208    -0.083    -9.021
  260.0 |    -1.500    +1.458    -7.500
  270.0 |    +1.104    +4.917    -5.042
  280.0 |    +4.906    +9.375    -2.042
  290.0 |    +8.240   +12.417    +0.792
  300.0 |   +10.500   +14.354    +3.667
  310.0 |   +12.062   +15.958    +6.146
  320.0 |   +13.250   +17.438    +8.292
  330.0 |   +14.292   +18.667   +10.062
  340.0 |   +15.104   +19.438   +11.333
  350.0 |   +15.625   +19.875   +12.146
  fit: amp=12.849  phase=-0.3 deg  argmin=180.0  argmax=0.0
