Model: microsoft/Phi-3-mini-4k-instruct
L31H10 plane (SV0, SV1): sigma_0=7.676  sigma_1=7.293
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -0.338
  plus: +6.483
  minus: -7.976

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.326    +6.497    -7.971
   15.0 |    -0.327    +6.489    -7.966
   30.0 |    -0.329    +6.481    -7.962
   45.0 |    -0.331    +6.473    -7.959
   60.0 |    -0.334    +6.466    -7.957
   75.0 |    -0.337    +6.460    -7.956
   90.0 |    -0.340    +6.455    -7.957
  105.0 |    -0.343    +6.453    -7.959
  120.0 |    -0.346    +6.452    -7.962
  135.0 |    -0.348    +6.454    -7.967
  150.0 |    -0.350    +6.457    -7.972
  165.0 |    -0.350    +6.463    -7.977
  180.0 |    -0.350    +6.469    -7.982
  195.0 |    -0.349    +6.477    -7.987
  210.0 |    -0.347    +6.485    -7.992
  225.0 |    -0.345    +6.493    -7.995
  240.0 |    -0.342    +6.500    -7.997
  255.0 |    -0.339    +6.506    -7.997
  270.0 |    -0.335    +6.511    -7.997
  285.0 |    -0.332    +6.514    -7.994
  300.0 |    -0.330    +6.514    -7.991
  315.0 |    -0.327    +6.512    -7.987
  330.0 |    -0.326    +6.509    -7.982
  345.0 |    -0.326    +6.503    -7.976
  fit: amp=0.012  phase=-11.8 deg  argmin=165.0  argmax=345.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.302    +6.525    -7.963
   15.0 |    -0.306    +6.502    -7.948
   30.0 |    -0.311    +6.477    -7.936
   45.0 |    -0.319    +6.453    -7.926
   60.0 |    -0.327    +6.431    -7.920
   75.0 |    -0.336    +6.413    -7.918
   90.0 |    -0.345    +6.400    -7.919
  105.0 |    -0.354    +6.393    -7.925
  120.0 |    -0.362    +6.391    -7.935
  135.0 |    -0.369    +6.396    -7.948
  150.0 |    -0.373    +6.407    -7.963
  165.0 |    -0.376    +6.423    -7.980
  180.0 |    -0.375    +6.443    -7.996
  195.0 |    -0.372    +6.466    -8.011
  210.0 |    -0.367    +6.490    -8.024
  225.0 |    -0.359    +6.514    -8.034
  240.0 |    -0.350    +6.536    -8.039
  255.0 |    -0.340    +6.554    -8.041
  270.0 |    -0.330    +6.568    -8.038
  285.0 |    -0.321    +6.576    -8.031
  300.0 |    -0.313    +6.577    -8.021
  315.0 |    -0.307    +6.573    -8.008
  330.0 |    -0.303    +6.562    -7.994
  345.0 |    -0.301    +6.545    -7.978
  fit: amp=0.037  phase=-11.8 deg  argmin=165.0  argmax=345.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.223    +6.637    -7.954
   15.0 |    -0.238    +6.555    -7.910
   30.0 |    -0.259    +6.469    -7.871
   45.0 |    -0.284    +6.387    -7.839
   60.0 |    -0.310    +6.314    -7.817
   75.0 |    -0.337    +6.256    -7.806
   90.0 |    -0.365    +6.215    -7.809
  105.0 |    -0.392    +6.193    -7.825
  120.0 |    -0.418    +6.190    -7.856
  135.0 |    -0.442    +6.205    -7.899
  150.0 |    -0.460    +6.238    -7.952
  165.0 |    -0.470    +6.288    -8.009
  180.0 |    -0.471    +6.352    -8.066
  195.0 |    -0.462    +6.427    -8.117
  210.0 |    -0.443    +6.508    -8.160
  225.0 |    -0.416    +6.588    -8.190
  240.0 |    -0.383    +6.663    -8.206
  255.0 |    -0.348    +6.725    -8.208
  270.0 |    -0.312    +6.771    -8.195
  285.0 |    -0.279    +6.799    -8.170
  300.0 |    -0.251    +6.807    -8.135
  315.0 |    -0.230    +6.795    -8.094
  330.0 |    -0.218    +6.762    -8.048
  345.0 |    -0.216    +6.708    -8.000
  fit: amp=0.126  phase=-12.5 deg  argmin=180.0  argmax=345.0
