Model: microsoft/Phi-3-mini-4k-instruct
Planes scanned: 1344  (layers=22..28, heads=0..31, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null mode: full_ov
Random-plane null: 672 planes (3 seeds x 224 heads) -- 0 pass (0.0%)
Null amp_slope: mean=0.001 p95=0.002 max=0.003
PASSED planes: 14 / 1344 (1.0%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
   1  28   1 (0,3)   5.14  12.84  1.284  0.992    0.9    -0.2
   2  28   1 (0,2)   5.10  12.64  1.264  0.992    0.0    +1.7
   3  28   1 (0,1)   5.23  11.61  1.161  0.983    7.3    +4.5
   4  27  16 (1,2)   2.59   8.24  0.824  1.000    0.0   +49.1
   5  27  16 (2,3)   1.96   6.19  0.619  1.000    1.0    -0.5
   6  27  16 (1,3)   1.70   5.46  0.546  1.000    0.9    -0.3
   7  24  10 (0,3)   1.21   3.45  0.345  0.998    6.2   -96.0
   8  24  10 (1,3)   1.21   3.28  0.328  0.996    1.3   -91.9
   9  26  22 (0,1)   1.00   3.27  0.327  1.000    0.3   +85.1
  10  26  22 (1,3)   1.02   3.22  0.322  1.000    0.9   -12.7
  11  25  24 (2,3)   1.34   3.21  0.321  0.989    7.7  -140.0
  12  26  22 (1,2)   1.02   3.20  0.320  1.000    0.4    -9.0
  13  25  24 (0,2)   1.16   2.55  0.255  0.982    5.7   -71.6
  14  25  24 (0,3)   0.75   2.15  0.215  0.998    5.2   -76.4

All results (sorted by amp_slope desc):
  L   H      SV   A_lo   A_hi  slope     R2   dphi  pass
 28   1 (0,3)   5.14  12.84  1.284  0.992    0.9   YES
 28   1 (0,2)   5.10  12.64  1.264  0.992    0.0   YES
 28   1 (0,1)   5.23  11.61  1.161  0.983    7.3   YES
 27  16 (1,2)   2.59   8.24  0.824  1.000    0.0   YES
 27  16 (2,3)   1.96   6.19  0.619  1.000    1.0   YES
 27  16 (0,2)   2.59   5.73  0.573  0.982   24.8    no
 27  16 (1,3)   1.70   5.46  0.546  1.000    0.9   YES
 27  16 (0,1)   2.28   4.32  0.432  0.963   32.1    no
 24  10 (2,3)   1.68   4.10  0.410  0.991   11.8    no
 24  10 (0,3)   1.21   3.45  0.345  0.998    6.2   YES
 24  10 (1,3)   1.21   3.28  0.328  0.996    1.3   YES
 26  22 (0,1)   1.00   3.27  0.327  1.000    0.3   YES
 26  22 (1,3)   1.02   3.22  0.322  1.000    0.9   YES
 25  24 (2,3)   1.34   3.21  0.321  0.989    7.7   YES
 26  22 (1,2)   1.02   3.20  0.320  1.000    0.4   YES
 25  24 (0,2)   1.16   2.55  0.255  0.982    5.7   YES
 25  24 (0,3)   0.75   2.15  0.215  0.998    5.2   YES
 25  24 (1,3)   0.75   1.97  0.197  0.995   19.9    no
 25  24 (1,2)   1.13   1.86  0.186  0.937   36.0    no
 24  10 (0,2)   1.09   1.81  0.181  0.938    7.5    no
 24  10 (1,2)   1.05   1.80  0.180  0.944   32.5    no
 28   1 (1,3)   1.14   1.66  0.166  0.906    5.4    no
 27  20 (0,1)   0.54   1.66  0.166  0.999    0.1    no
 27  20 (1,2)   0.54   1.64  0.164  0.999    2.1    no
 27  20 (1,3)   0.53   1.64  0.164  1.000    1.5    no
 26   3 (2,3)   0.47   1.56  0.156  1.000    0.7    no
 28   1 (1,2)   1.14   1.54  0.154  0.886    7.9    no
 26   3 (1,2)   0.48   1.52  0.152  1.000    0.9    no
 26   3 (0,2)   0.47   1.44  0.144  0.999    7.1    no
 26  22 (2,3)   0.27   0.85  0.085  1.000    1.1    no
 25  24 (0,1)   0.37   0.76  0.076  0.975   41.9    no
 27  16 (0,3)   1.56   0.75  0.075  0.457   10.2    no
 26  22 (0,3)   0.23   0.73  0.073  1.000    2.3    no
 24   0 (0,1)   0.12   0.62  0.062  0.990   15.0    no
 26  22 (0,2)   0.17   0.62  0.062  1.000    0.6    no
 24   0 (0,3)   0.12   0.56  0.056  0.995   22.9    no
 28  14 (1,3)   0.17   0.54  0.054  1.000    0.1    no
 28  14 (0,3)   0.16   0.54  0.054  1.000    0.3    no
 28  14 (2,3)   0.17   0.53  0.053  1.000    1.2    no
 27   6 (0,1)   0.11   0.50  0.050  0.995    6.6    no
 24   0 (1,3)   0.15   0.50  0.050  1.000    2.8    no
 28   1 (2,3)   0.16   0.47  0.047  0.999    5.9    no
 24   0 (0,2)   0.07   0.47  0.047  0.980   11.2    no
 27   6 (0,2)   0.10   0.46  0.046  0.995    2.3    no
 27  20 (0,2)   0.15   0.46  0.046  0.999    5.9    no
 27   6 (0,3)   0.11   0.45  0.045  0.996    1.9    no
 27  20 (0,3)   0.14   0.45  0.045  1.000    5.4    no
 23  25 (1,2)   0.12   0.39  0.039  1.000    2.1    no
 28  17 (0,2)   0.13   0.39  0.039  0.999    1.0    no
 24   2 (0,1)   0.13   0.39  0.039  1.000    0.7    no
 24   2 (0,3)   0.11   0.38  0.038  1.000    1.7    no
 28  19 (0,3)   0.10   0.38  0.038  0.999   15.4    no
 24   2 (0,2)   0.13   0.38  0.038  0.998    3.2    no
 28   9 (0,2)   0.01   0.37  0.037  0.938   38.2    no
 23  16 (1,2)   0.13   0.37  0.037  0.997    6.2    no
 28  10 (1,2)   0.10   0.36  0.036  0.999    3.3    no
 27  31 (1,2)   0.11   0.36  0.036  1.000    2.6    no
 28   0 (0,2)   0.09   0.36  0.036  0.998   10.9    no
 26   3 (1,3)   0.11   0.36  0.036  1.000    9.1    no
 28  10 (0,2)   0.10   0.36  0.036  1.000    2.0    no
 24   0 (2,3)   0.11   0.36  0.036  1.000    2.4    no
