Model: microsoft/Phi-3-mini-4k-instruct
L24H17 plane (SV1, SV2): sigma_1=5.371  sigma_2=5.114
tokens: 'month'=4098  'hour'=7234

BASELINE:
  neutral: -1.208
  plus: +8.688
  minus: -6.812

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -1.854    +8.073    -7.719
   10.0 |    -1.854    +8.094    -7.698
   20.0 |    -1.812    +8.104    -7.656
   30.0 |    -1.750    +8.135    -7.562
   40.0 |    -1.688    +8.208    -7.479
   50.0 |    -1.604    +8.312    -7.375
   60.0 |    -1.458    +8.375    -7.188
   70.0 |    -1.396    +8.500    -7.021
   80.0 |    -1.292    +8.594    -6.833
   90.0 |    -1.146    +8.708    -6.740
  100.0 |    -1.021    +8.812    -6.562
  110.0 |    -0.938    +8.938    -6.427
  120.0 |    -0.854    +9.062    -6.219
  130.0 |    -0.729    +9.167    -6.156
  140.0 |    -0.688    +9.219    -6.073
  150.0 |    -0.667    +9.292    -6.010
  160.0 |    -0.625    +9.312    -5.969
  170.0 |    -0.604    +9.396    -5.906
  180.0 |    -0.625    +9.354    -5.979
  190.0 |    -0.688    +9.312    -6.000
  200.0 |    -0.688    +9.302    -6.083
  210.0 |    -0.750    +9.240    -6.146
  220.0 |    -0.875    +9.167    -6.260
  230.0 |    -0.938    +9.042    -6.375
  240.0 |    -1.000    +8.979    -6.490
  250.0 |    -1.083    +8.875    -6.667
  260.0 |    -1.229    +8.792    -6.781
  270.0 |    -1.333    +8.667    -6.938
  280.0 |    -1.438    +8.583    -7.094
  290.0 |    -1.500    +8.438    -7.229
  300.0 |    -1.604    +8.365    -7.344
  310.0 |    -1.667    +8.292    -7.500
  320.0 |    -1.771    +8.208    -7.562
  330.0 |    -1.833    +8.146    -7.635
  340.0 |    -1.854    +8.094    -7.677
  350.0 |    -1.896    +8.094    -7.750
  fit: amp=0.629  phase=172.1 deg  argmin=350.0  argmax=170.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -3.396    +6.656    -9.396
   10.0 |    -3.312    +6.698    -9.344
   20.0 |    -3.229    +6.719    -9.260
   30.0 |    -3.000    +6.812    -9.083
   40.0 |    -2.792    +6.969    -8.833
   50.0 |    -2.500    +7.177    -8.479
   60.0 |    -2.167    +7.448    -8.010
   70.0 |    -1.812    +7.771    -7.500
   80.0 |    -1.438    +8.135    -6.875
   90.0 |    -1.000    +8.521    -6.281
  100.0 |    -0.646    +8.969    -5.604
  110.0 |    -0.292    +9.312    -5.073
  120.0 |    +0.000    +9.729    -4.667
  130.0 |    +0.208   +10.021    -4.354
  140.0 |    +0.375   +10.292    -4.208
  150.0 |    +0.479   +10.458    -4.083
  160.0 |    +0.500   +10.562    -4.125
  170.0 |    +0.479   +10.562    -4.229
  180.0 |    +0.438   +10.604    -4.292
  190.0 |    +0.354   +10.500    -4.521
  200.0 |    +0.208   +10.333    -4.729
  210.0 |    +0.000   +10.188    -4.990
  220.0 |    -0.188    +9.958    -5.240
  230.0 |    -0.375    +9.646    -5.531
  240.0 |    -0.646    +9.417    -5.875
  250.0 |    -0.917    +9.062    -6.240
  260.0 |    -1.208    +8.812    -6.635
  270.0 |    -1.521    +8.542    -7.073
  280.0 |    -1.875    +8.229    -7.479
  290.0 |    -2.167    +7.896    -7.927
  300.0 |    -2.458    +7.615    -8.312
  310.0 |    -2.750    +7.365    -8.688
  320.0 |    -2.979    +7.115    -8.917
  330.0 |    -3.167    +6.948    -9.125
  340.0 |    -3.333    +6.812    -9.281
  350.0 |    -3.375    +6.719    -9.385
  fit: amp=1.955  phase=172.1 deg  argmin=0.0  argmax=160.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |   -10.271    -1.396   -14.708
   10.0 |    -9.865    -1.771   -14.250
   20.0 |    -9.479    -2.073   -13.917
   30.0 |    -9.177    -2.344   -13.771
   40.0 |    -8.906    -2.406   -13.562
   50.0 |    -8.375    -1.844   -12.917
   60.0 |    -7.177    -0.354   -11.458
   70.0 |    -5.531    +2.073    -9.240
   80.0 |    -3.458    +4.333    -6.594
   90.0 |    -1.104    +6.260    -3.562
  100.0 |    +0.896    +7.938    -1.562
  110.0 |    +2.188    +9.354    -0.354
  120.0 |    +3.115   +10.396    +0.688
  130.0 |    +3.875   +11.354    +1.521
  140.0 |    +4.490   +12.458    +2.208
  150.0 |    +5.000   +13.583    +2.625
  160.0 |    +5.479   +14.708    +2.708
  170.0 |    +5.479   +15.479    +2.375
  180.0 |    +4.854   +15.479    +1.208
  190.0 |    +3.906   +14.958    -0.250
  200.0 |    +3.010   +14.188    -1.417
  210.0 |    +2.250   +13.250    -2.250
  220.0 |    +1.521   +12.354    -2.979
  230.0 |    +0.792   +11.542    -3.677
  240.0 |    -0.010   +10.750    -4.448
  250.0 |    -0.792   +10.042    -5.406
  260.0 |    -1.771    +9.208    -6.635
  270.0 |    -2.896    +8.344    -8.344
  280.0 |    -4.354    +7.292   -10.417
  290.0 |    -5.917    +6.135   -12.292
  300.0 |    -7.594    +4.885   -13.979
  310.0 |    -9.104    +3.448   -15.292
  320.0 |   -10.281    +1.979   -15.979
  330.0 |   -10.823    +0.615   -16.062
  340.0 |   -10.958    -0.385   -15.750
  350.0 |   -10.677    -1.021   -15.229
  fit: amp=8.056  phase=171.6 deg  argmin=340.0  argmax=160.0
