condition,alpha,domain,lms,ss,icat,n_rows,skipped
baseline,0.0,gender,90.0,74.90196078431373,45.17647058823529,255,0
baseline,0.0,race,91.52806652806653,62.16216216216216,69.2644827779963,962,0
baseline,0.0,profession,90.37037037037037,65.92592592592592,61.58573388203018,810,0
baseline,0.0,religion,91.77215189873418,63.29113924050633,67.3770229129947,79,0
single_L21H4,5.0,gender,90.3921568627451,74.11764705882354,46.7912341407151,255,0
single_L21H4,5.0,race,91.42411642411642,62.681912681912685,68.23546319388315,962,0
single_L21H4,5.0,profession,90.49382716049382,65.67901234567901,62.11675049535132,810,0
single_L21H4,5.0,religion,91.77215189873418,63.29113924050633,67.3770229129947,79,0
single_L21H4,10.0,gender,90.3921568627451,75.29411764705883,44.66435986159169,255,0
single_L21H4,10.0,race,91.26819126819127,62.474012474012476,68.49858014099178,962,0
single_L21H4,10.0,profession,90.61728395061728,64.93827160493827,63.5439719554946,810,0
single_L21H4,10.0,religion,91.77215189873418,64.55696202531645,65.05367729530525,79,0
single_L21H4,20.0,gender,90.7843137254902,74.11764705882354,46.994232987312564,255,0
single_L21H4,20.0,race,91.63201663201663,62.37006237006237,68.96214141536387,962,0
single_L21H4,20.0,profession,90.55555555555556,64.69135802469135,63.947873799725656,810,0
single_L21H4,20.0,religion,91.77215189873418,64.55696202531645,65.05367729530525,79,0
ensemble_K4,5.0,gender,90.7843137254902,74.11764705882354,46.994232987312564,255,0
ensemble_K4,5.0,race,91.52806652806653,62.474012474012476,68.69362165619962,962,0
ensemble_K4,5.0,profession,90.67901234567901,66.04938271604938,61.572168876695635,810,0
ensemble_K4,5.0,religion,91.77215189873418,64.55696202531645,65.05367729530525,79,0
ensemble_K4,10.0,gender,90.7843137254902,74.90196078431373,45.570165321030366,255,0
ensemble_K4,10.0,race,91.52806652806653,62.474012474012476,68.69362165619962,962,0
ensemble_K4,10.0,profession,90.67901234567901,66.17283950617283,61.348270080780374,810,0
ensemble_K4,10.0,religion,91.13924050632912,65.82278481012658,62.29770870052877,79,0
ensemble_K4,20.0,gender,90.98039215686275,76.07843137254902,43.527873894655905,255,0
ensemble_K4,20.0,race,91.42411642411642,61.642411642411645,70.1361724750498,962,0
ensemble_K4,20.0,profession,90.67901234567901,65.67901234567901,62.24386526444139,810,0
ensemble_K4,20.0,religion,91.13924050632912,70.88607594936708,53.068418522672665,79,0
