condition,alpha,domain,lms,ss,icat,n_rows,skipped
baseline,0.0,gender,92.74509803921569,73.33333333333333,49.46405228758171,255,0
baseline,0.0,race,92.35966735966736,61.642411642411645,70.85388202851819,962,0
baseline,0.0,profession,92.03703703703704,67.65432098765432,59.540009144947426,810,0
baseline,0.0,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
single_L28H1,0.5,gender,92.94117647058823,73.33333333333333,49.5686274509804,255,0
single_L28H1,0.5,race,92.56756756756756,62.05821205821206,70.24358037871552,962,0
single_L28H1,0.5,profession,92.1604938271605,67.77777777777777,59.39231824417011,810,0
single_L28H1,0.5,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
single_L28H1,1.0,gender,92.94117647058823,73.72549019607843,48.83967704728951,255,0
single_L28H1,1.0,race,92.41164241164242,61.642411642411645,70.89375478148867,962,0
single_L28H1,1.0,profession,92.28395061728395,67.90123456790124,59.24401768023166,810,0
single_L28H1,1.0,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
single_L28H1,1.5,gender,93.13725490196079,73.72549019607843,48.94271434063823,255,0
single_L28H1,1.5,race,92.25571725571726,61.85031185031185,70.39053686662835,962,0
single_L28H1,1.5,profession,92.22222222222223,67.28395061728395,60.34293552812073,810,0
single_L28H1,1.5,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
ensemble_K4,0.5,gender,92.94117647058823,74.11764705882354,48.1107266435986,255,0
ensemble_K4,0.5,race,92.51559251559252,60.810810810810814,72.5122211608698,962,0
ensemble_K4,0.5,profession,92.22222222222223,68.76543209876543,57.61042524005487,810,0
ensemble_K4,0.5,religion,88.60759493670886,63.29113924050633,65.05367729530523,79,0
ensemble_K4,1.0,gender,92.94117647058823,73.72549019607843,48.83967704728951,255,0
ensemble_K4,1.0,race,92.61954261954261,60.395010395010395,73.36392045331755,962,0
ensemble_K4,1.0,profession,91.79012345679013,68.14814814814815,58.473708276177405,810,0
ensemble_K4,1.0,religion,88.60759493670886,63.29113924050633,65.05367729530523,79,0
ensemble_K4,1.5,gender,93.13725490196079,73.33333333333333,49.6732026143791,255,0
ensemble_K4,1.5,race,92.67151767151768,60.08316008316008,73.98308271489145,962,0
ensemble_K4,1.5,profession,91.41975308641975,69.1358024691358,56.431946349641834,810,0
ensemble_K4,1.5,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
