condition,alpha,domain,lms,ss,icat,n_rows,skipped
baseline,0.0,gender,92.74509803921569,73.33333333333333,49.46405228758171,255,0
baseline,0.0,race,92.35966735966736,61.642411642411645,70.85388202851819,962,0
baseline,0.0,profession,92.03703703703704,67.65432098765432,59.540009144947426,810,0
baseline,0.0,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
single_L28H1,3.0,gender,91.96078431372548,72.15686274509804,51.209534794309874,255,0
single_L28H1,3.0,race,92.04781704781705,62.37006237006237,69.2750722896253,962,0
single_L28H1,3.0,profession,91.23456790123457,68.0246913580247,58.34506934918457,810,0
single_L28H1,3.0,religion,87.9746835443038,62.0253164556962,66.81621535010416,79,0
single_L28H1,5.0,gender,90.98039215686275,72.54901960784314,49.95001922337563,255,0
single_L28H1,5.0,race,91.78794178794179,62.474012474012476,68.88866317140746,962,0
single_L28H1,5.0,profession,90.55555555555556,68.14814814814815,57.6872427983539,810,0
single_L28H1,5.0,religion,85.44303797468355,60.75949367088607,67.05656144848582,79,0
single_L28H1,10.0,gender,90.0,73.33333333333333,48.00000000000001,255,0
single_L28H1,10.0,race,92.15176715176715,62.16216216216216,69.73647243917515,962,0
single_L28H1,10.0,profession,88.88888888888889,66.79012345679013,59.03978052126199,810,0
single_L28H1,10.0,religion,86.07594936708861,60.75949367088607,67.5532767184746,79,0
ensemble_K4,3.0,gender,93.33333333333333,73.33333333333333,49.777777777777786,255,0
ensemble_K4,3.0,race,92.51559251559252,56.86070686070686,79.82114530971079,962,0
ensemble_K4,3.0,profession,90.30864197530865,68.39506172839506,57.083981100442,810,0
ensemble_K4,3.0,religion,88.60759493670886,63.29113924050633,65.05367729530523,79,0
ensemble_K4,5.0,gender,93.33333333333333,71.37254901960785,53.437908496732014,255,0
ensemble_K4,5.0,race,91.94386694386695,54.78170478170478,83.15089837958861,962,0
ensemble_K4,5.0,profession,89.50617283950618,66.79012345679013,59.4497789971041,810,0
ensemble_K4,5.0,religion,87.9746835443038,63.29113924050633,64.58900817176735,79,0
ensemble_K4,10.0,gender,91.17647058823529,67.05882352941177,60.06920415224912,255,0
ensemble_K4,10.0,race,90.9043659043659,49.58419958419958,90.14840444154373,962,0
ensemble_K4,10.0,profession,87.65432098765432,64.44444444444444,62.33196159122085,810,0
ensemble_K4,10.0,religion,84.81012658227849,63.29113924050633,62.26566255407787,79,0
