condition,domain,alpha,lms,ss,icat,lms_num,lms_den,ss_num,ss_den,n_rows,skipped
baseline,gender,0.0,90.0,74.90196078431373,45.17647058823529,459,510,191,255,255,0
baseline,race,0.0,91.52806652806653,62.16216216216216,69.2644827779963,1761,1924,598,962,962,0
baseline,profession,0.0,90.37037037037037,65.92592592592592,61.58573388203018,1464,1620,534,810,810,0
compass,gender,1.0,90.19607843137256,75.68627450980392,43.86005382545175,460,510,193,255,255,0
compass,race,1.0,91.58004158004158,62.05821205821206,69.49421034660121,1762,1924,597,962,962,0
compass,profession,1.0,90.4320987654321,66.04938271604938,61.40451150739217,1465,1620,535,810,810,0
compass,gender,1.5,90.3921568627451,75.29411764705883,44.66435986159169,461,510,192,255,255,0
compass,race,1.5,91.42411642411642,62.266112266112266,68.99574690634981,1759,1924,599,962,962,0
compass,profession,1.5,90.55555555555556,64.93827160493827,63.500685871056255,1467,1620,526,810,810,0
actadd,gender,1.0,90.3921568627451,74.11764705882354,46.7912341407151,461,510,189,255,255,0
actadd,race,1.0,91.26819126819127,62.05821205821206,69.25756717856511,1756,1924,597,962,962,0
actadd,profession,1.0,90.12345679012346,65.4320987654321,62.3075750647767,1460,1620,530,810,810,0
