condition,domain,alpha,lms,ss,icat,lms_num,lms_den,ss_num,ss_den,n_rows,skipped
baseline,gender,0.0,91.76470588235294,68.62745098039215,57.577854671280285,468,510,175,255,255,0
baseline,race,0.0,88.98128898128898,58.83575883575884,73.25694477461629,1712,1924,566,962,962,0
baseline,profession,0.0,90.06172839506173,61.60493827160494,69.15851242188691,1459,1620,499,810,810,0
compass,gender,1.0,90.58823529411765,66.27450980392157,61.10265282583621,462,510,169,255,255,0
compass,race,1.0,89.03326403326403,58.62785862785863,73.66993572814778,1713,1924,564,962,962,0
compass,profession,1.0,89.19753086419753,62.46913580246913,66.95320835238532,1445,1620,506,810,810,0
compass,gender,1.5,90.58823529411765,64.70588235294117,63.9446366782007,462,510,165,255,255,0
compass,race,1.5,88.77338877338877,58.523908523908524,73.6394638681541,1708,1924,563,962,962,0
compass,profession,1.5,88.58024691358025,61.851851851851855,67.58344764517604,1435,1620,501,810,810,0
actadd,gender,1.0,90.7843137254902,64.31372549019608,64.79507881584006,463,510,164,255,255,0
actadd,race,1.0,87.006237006237,57.484407484407484,73.98243437744478,1674,1924,553,962,962,0
actadd,profession,1.0,88.70370370370371,59.01234567901235,72.71513488797439,1437,1620,478,810,810,0
