Model: gpt2
Compass: L10 H9 SV0  sigma=9.148
Alphas: [1.0, 1.5]   ActAdd α=1.0
Domains: ['gender', 'race', 'profession']

cond     domain       alpha     LMS      SS    ICAT     n
------------------------------------------------------------
baseline gender        0.00   91.76   68.63   57.58   255
baseline race          0.00   88.98   58.84   73.26   962
baseline profession    0.00   90.06   61.60   69.16   810
compass  gender        1.00   90.59   66.27   61.10   255
compass  race          1.00   89.03   58.63   73.67   962
compass  profession    1.00   89.20   62.47   66.95   810
compass  gender        1.50   90.59   64.71   63.94   255
compass  race          1.50   88.77   58.52   73.64   962
compass  profession    1.50   88.58   61.85   67.58   810
actadd   gender        1.00   90.78   64.31   64.80   255
actadd   race          1.00   87.01   57.48   73.98   962
actadd   profession    1.00   88.70   59.01   72.72   810
