domain,multiplier,alpha,ss,n,dist50
gender,0.0,0.0,48.47328244274809,262,1.5267175572519065
gender,0.25,0.47248871448599383,41.603053435114504,262,8.396946564885496
gender,0.5,0.9449774289719877,39.31297709923664,262,10.68702290076336
gender,0.75,1.4174661434579816,35.11450381679389,262,14.885496183206108
gender,1.0,1.8899548579439753,33.587786259541986,262,16.412213740458014
gender,1.25,2.362443572429969,33.587786259541986,262,16.412213740458014
gender,1.5,2.834932286915963,32.06106870229008,262,17.93893129770992
race,0.0,0.0,50.0,516,0.0
race,0.25,0.4487952162456234,49.6124031007752,516,0.38759689922480334
race,0.5,0.8975904324912468,51.55038759689923,516,1.5503875968992276
race,0.75,1.3463856487368702,51.74418604651163,516,1.7441860465116292
race,1.0,1.7951808649824936,53.29457364341085,516,3.2945736434108497
race,1.25,2.243976081228117,53.68217054263566,516,3.68217054263566
race,1.5,2.6927712974737403,53.48837209302326,516,3.4883720930232585
