domain,multiplier,alpha,ss,n,dist50
gender,0.0,0.0,57.63358778625954,262,7.63358778625954
gender,0.25,1.2759549948539153,49.61832061068702,262,0.3816793893129784
gender,0.5,2.5519099897078306,47.32824427480916,262,2.6717557251908417
gender,0.75,3.827864984561746,46.94656488549618,262,3.05343511450382
gender,1.0,5.103819979415661,45.80152671755725,262,4.198473282442748
gender,1.25,6.379774974269576,45.80152671755725,262,4.198473282442748
gender,1.5,7.655729969123492,46.94656488549618,262,3.05343511450382
race,0.0,0.0,52.51937984496124,516,2.519379844961243
race,0.25,1.2883637698548747,45.15503875968992,516,4.844961240310077
race,0.5,2.5767275397097493,41.47286821705426,516,8.527131782945737
race,0.75,3.865091309564624,37.01550387596899,516,12.984496124031011
race,1.0,5.153455079419499,34.30232558139535,516,15.697674418604649
race,1.25,6.441818849274373,32.17054263565891,516,17.82945736434109
race,1.5,7.730182619129248,31.007751937984494,516,18.992248062015506
