condition,layer,head,svd,alpha,sigma,raw_gap,stereo_corr,stereo_delta,ppl,ppl_delta,n_rows,n_occ,skipped
baseline,-1,-1,-1,0.0,nan,0.9126302083333333,0.6032174197072179,0.7453681173526141,23.118311288923124,0.0,720,60,0
compass,10,9,0,0.25,9.148197174072266,1.8774739583333333,0.515433953790713,0.6450656979977754,23.118311288923124,0.0,720,60,0
compass,10,9,0,0.5,9.148197174072266,3.0990234375,0.4280812463208099,0.5750790809232478,23.118311288923124,0.0,720,60,0
compass,10,9,0,1.0,9.148197174072266,5.73671875,0.1853860277665401,0.2493916852057838,23.118311288923124,0.0,720,60,0
compass,10,9,0,1.5,9.148197174072266,8.32734375,-0.08685734983800873,-0.1251911846496121,23.482371718117374,0.3640604291942502,720,60,0
compass,10,9,0,2.0,9.148197174072266,10.862239583333333,-0.2494702066177556,-0.48628684649610676,24.22778221261098,1.109470923687855,720,60,0
actadd,10,-1,-1,1.0,nan,8.931770833333333,0.3186681449113385,0.40291295884316014,23.852165264858517,0.7338539759353928,720,60,0
compass,9,7,0,1.0,9.233860969543457,0.7647135416666667,0.6156117305711569,0.7119281840934372,23.482371718117374,0.3640604291942502,720,60,0
actadd,9,-1,-1,1.0,nan,1.553125,0.3782606719676976,0.4227266407119019,23.118311288923124,0.0,720,60,0
compass,11,1,1,1.0,13.350604057312012,2.381119791666667,0.5922672264591876,0.7402582730812013,25.39049775763493,2.272186468711805,720,60,0
actadd,11,-1,-1,1.0,nan,7.539192708333333,0.2865607403029575,0.32404929087875445,24.609314266596865,1.491002977673741,720,60,0
