condition,layer,head,svd,alpha,sigma,raw_gap,stereo_corr,stereo_delta,ppl,ppl_delta,n_rows,n_occ,skipped
baseline,-1,-1,-1,0.0,nan,1.1514322916666666,0.638303323456234,1.0864067714126808,5.33998697743056,0.0,720,60,0
compass,28,1,0,0.25,13.670207977294922,1.39453125,0.6395150999435821,1.0264356229143492,5.345950111347729,0.005963133917168406,720,60,0
compass,28,1,0,0.5,13.670207977294922,1.743359375,0.6187304598719119,0.8806573275862069,5.345950111347729,0.005963133917168406,720,60,0
compass,28,1,0,1.0,13.670207977294922,2.7134114583333333,0.46849109557713553,0.5765868325917687,5.345950111347729,0.005963133917168406,720,60,0
compass,28,1,0,1.5,13.670207977294922,3.937109375,-0.01678503412570832,0.10243152113459386,5.3578963636141035,0.01790938618354332,720,60,0
compass,28,1,0,2.0,13.670207977294922,5.288020833333333,-0.30329940027541796,-0.38539349276974466,5.375865814759382,0.03587883732882169,720,60,0
actadd,28,-1,-1,1.0,nan,3.5063802083333333,0.43507463471486785,0.9932477057842051,5.478837027303721,0.1388500498731604,720,60,0
compass,27,16,1,1.0,10.267940521240234,0.757421875,0.5839222625308774,0.9420102196885429,5.33998697743056,0.0,720,60,0
actadd,27,-1,-1,1.0,nan,2.0658854166666667,0.42446371972450336,0.6910456062291435,5.466621119265817,0.12663414183525656,720,60,0
compass,24,10,0,1.0,9.414865493774414,1.126953125,0.6453974515027038,1.0860070216907676,5.41802925291336,0.07804227548280007,720,60,0
actadd,24,-1,-1,1.0,nan,9.95390625,0.2782736465168999,0.2988216073414911,5.780350296127795,0.44036331869723444,720,60,0
