path	bucket	reason
.gitignore	both	shared ignore rules
ARITHMETIC_CIRCUIT_PLAN.md	arithmetic	the arithmetic cookbook
CLAUDE.md	both	repo coding guidelines
COMPASS_COOKBOOK.md	compass	the compass cookbook
Diagnosing Fisher Patching.md	arithmetic	Fisher patching debug log
FOURIER_PHASE_ROTATION_FINDINGS.md	arithmetic	Fourier phase-rotation findings
MATHEMATICAL_TOOLKIT_PROPOSAL.md	arithmetic	toolkit proposal for arithmetic circuits
README.md	drop	Beyond Components README; rewritten per repo
Raw_log_from_IDE_console.txt	arithmetic	raw console log of arithmetic runs
acl-style-files-master/README.md	compass	ACL style files for the compass ACL submission
acl-style-files-master/acl.sty	compass	ACL style files for the compass ACL submission
acl-style-files-master/acl_latex.tex	compass	ACL style files for the compass ACL submission
acl-style-files-master/acl_lualatex.tex	compass	ACL style files for the compass ACL submission
acl-style-files-master/acl_natbib.bst	compass	ACL style files for the compass ACL submission
acl-style-files-master/anthology.bib.txt	compass	ACL style files for the compass ACL submission
acl-style-files-master/custom.bib	compass	ACL style files for the compass ACL submission
acl-style-files-master/formatting.md	compass	ACL style files for the compass ACL submission
analysis_log_extracted.md	arithmetic	model analysis log
claude_skills/read-arxiv-paper.md	both	repo tooling
configs/arithmetic_gemma2b_circuit_constrained.yaml	arithmetic	arithmetic training config
configs/arithmetic_phi3_circuit_constrained.yaml	arithmetic	arithmetic training config
configs/arithmetic_phi3_config.yaml	arithmetic	arithmetic training config
configs/arithmetic_pythia_config.yaml	arithmetic	arithmetic training config
configs/gp_config.yaml	both	Gender Pronoun; compass Stage-1 + shared training
configs/gt_config.yaml	drop	Beyond Components Greater-Than task
configs/ioi_config.yaml	arithmetic	BC-lineage but named in ARITHMETIC_CIRCUIT_PLAN.md Phase 0
data/README.md	both	shared dataset loader / docs
data/__init__.py	both	shared dataset loader / docs
data/data_loader.py	both	shared dataset loader / docs
data/winogender_occupations_stats.tsv	compass	Winogender occupation stats
experiment_history.jsonl	arithmetic	written by src/analysis/experiment_history.py
experiment_layernorm_depth.py	arithmetic	layernorm-depth arithmetic experiment
experiments/ablation/comprehensive_sigma_test.py	drop	Beyond Components sigma amplification
experiments/ablation/intervention.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/analyze_checkpoint.py	drop	Beyond Components mask-checkpoint inspector
experiments/analyze_fourier_circuits.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/analyze_head_domain_routing.py	compass	named in COMPASS_COOKBOOK.md
experiments/analyze_sum_encoding.py	arithmetic	docstring: Phase 4c SVD sum-encoding (grokking theory)
experiments/analyze_svd_directions.py	arithmetic	docstring: Phase 3 Fourier analysis of SVD directions
experiments/arithmetic_bus_validation.py	arithmetic	dense-patch validation of the arithmetic bus
experiments/arithmetic_circuit_discovery.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/arithmetic_circuit_scan.py	arithmetic	v2 of the arithmetic layer scan
experiments/arithmetic_circuit_scan_updated.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/baseline_comparison.py	compass	docstring: baselines for the semantic compass
experiments/bootstrap_ci.py	compass	named in COMPASS_COOKBOOK.md
experiments/calibrate_per_domain_alpha.py	compass	named in COMPASS_COOKBOOK.md
experiments/carry_stratification.py	arithmetic	named in ARITHMETIC_CIRCUIT_PLAN.md
experiments/causal_digit_probing.py	arithmetic	docstring: causal probing of ones-digit encoding
experiments/causal_validation.py	arithmetic	docstring: Phase 5 direction-level scalar swapping
