condition,alpha,domain,ss,n,skipped
baseline,0.0,race,56.007751937984494,516,0
baseline,0.0,profession,63.95348837209303,172,0
baseline,0.0,gender,51.14503816793893,262,0
baseline,0.0,religion,63.80952380952381,105,0
baseline,0.0,overall,56.872037914691944,1055,0
ensemble_K4,5.0,race,54.06976744186046,516,0
ensemble_K4,5.0,profession,63.95348837209303,172,0
ensemble_K4,5.0,gender,54.961832061068705,262,0
ensemble_K4,5.0,religion,64.76190476190476,105,0
ensemble_K4,5.0,overall,56.96682464454976,1055,0
ensemble_K4,10.0,race,51.35658914728682,516,0
ensemble_K4,10.0,profession,62.2093023255814,172,0
ensemble_K4,10.0,gender,58.396946564885496,262,0
ensemble_K4,10.0,religion,64.76190476190476,105,0
ensemble_K4,10.0,overall,56.208530805687204,1055,0
