condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.968992248062015,516,0
baseline,0.0,profession,66.86046511627907,172,0
baseline,0.0,gender,54.19847328244275,262,0
baseline,0.0,religion,74.28571428571429,105,0
baseline,0.0,overall,56.682464454976305,1055,0
ensemble_K4,10.0,race,41.47286821705426,516,0
ensemble_K4,10.0,profession,72.09302325581395,172,0
ensemble_K4,10.0,gender,56.87022900763359,262,0
ensemble_K4,10.0,religion,64.76190476190476,105,0
ensemble_K4,10.0,overall,52.60663507109005,1055,0
ensemble_K4,20.0,race,35.27131782945737,516,0
ensemble_K4,20.0,profession,73.25581395348837,172,0
ensemble_K4,20.0,gender,56.48854961832061,262,0
ensemble_K4,20.0,religion,58.095238095238095,105,0
ensemble_K4,20.0,overall,49.00473933649289,1055,0
