condition,alpha,domain,ss,n,skipped
baseline,0.0,race,56.007751937984494,516,0
baseline,0.0,profession,63.95348837209303,172,0
baseline,0.0,gender,51.14503816793893,262,0
baseline,0.0,religion,63.80952380952381,105,0
baseline,0.0,overall,56.872037914691944,1055,0
routed_calib,81.35799208554863,race,31.976744186046513,516,0
routed_calib,29.726381606333852,profession,61.04651162790697,172,0
routed_calib,55.26473349230913,gender,32.44274809160305,262,0
routed_calib,31.188676465617817,religion,60.0,105,0
routed_calib,-1.0,overall,39.62085308056872,1055,0
