condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.0,516,0
baseline,0.0,profession,61.627906976744185,172,0
baseline,0.0,gender,48.47328244274809,262,0
baseline,0.0,religion,60.0,105,0
baseline,0.0,overall,52.51184834123223,1055,0
routed_calib,1.7951808649824936,race,53.29457364341085,516,0
routed_calib,1.3742810085440038,profession,57.55813953488372,172,0
routed_calib,1.8899548579439753,gender,33.587786259541986,262,0
routed_calib,1.8701824265692044,religion,57.142857142857146,105,0
routed_calib,-1.0,overall,49.47867298578199,1055,0
