condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.968992248062015,516,0
baseline,0.0,profession,66.86046511627907,172,0
baseline,0.0,gender,54.19847328244275,262,0
baseline,0.0,religion,74.28571428571429,105,0
baseline,0.0,overall,56.682464454976305,1055,0
routed_calib,7.119481363114006,race,41.47286821705426,516,0
routed_calib,6.89882359210266,profession,51.74418604651163,172,0
routed_calib,8.110751923076588,gender,55.725190839694655,262,0
routed_calib,9.325003683302272,religion,72.38095238095238,105,0
routed_calib,-1.0,overall,49.76303317535545,1055,0
