condition,alpha,domain,ss,n,skipped
baseline,0.0,race,52.51937984496124,516,0
baseline,0.0,profession,57.55813953488372,172,0
baseline,0.0,gender,57.63358778625954,262,0
baseline,0.0,religion,59.04761904761905,105,0
baseline,0.0,overall,55.26066350710901,1055,0
routed_K4,5.0,race,34.49612403100775,516,0
routed_K4,5.0,profession,58.13953488372093,172,0
routed_K4,5.0,gender,46.94656488549618,262,0
routed_K4,5.0,religion,60.0,105,0
routed_K4,5.0,overall,43.981042654028435,1055,0
routed_K4,10.0,race,30.62015503875969,516,0
routed_K4,10.0,profession,59.883720930232556,172,0
routed_K4,10.0,gender,49.23664122137404,262,0
routed_K4,10.0,religion,56.19047619047619,105,0
routed_K4,10.0,overall,42.55924170616114,1055,0
