condition,alpha,domain,ss,n,skipped
baseline,0.0,race,52.51937984496124,516,0
baseline,0.0,profession,57.55813953488372,172,0
baseline,0.0,gender,57.63358778625954,262,0
baseline,0.0,religion,59.04761904761905,105,0
baseline,0.0,overall,55.26066350710901,1055,0
routed_calib,5.153455079419499,race,34.30232558139535,516,0
routed_calib,3.799127805969393,profession,58.72093023255814,172,0
routed_calib,5.103819979415661,gender,52.29007633587786,262,0
routed_calib,5.336812513857484,religion,61.904761904761905,105,0
routed_calib,-1.0,overall,45.497630331753555,1055,0
