Model: google/gemma-2-2b
L21H4 plane (SV0, SV2): sigma_0=2.354  sigma_2=1.984
tokens: ' he'=693  ' she'=1284

BASELINE:
  neutral: +0.250
  plus: +5.375
  minus: -3.375

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.458    +5.792    -3.125
   10.0 |    +0.458    +5.792    -3.083
   20.0 |    +0.458    +5.708    -3.083
   30.0 |    +0.458    +5.625    -3.083
   40.0 |    +0.417    +5.583    -3.083
   50.0 |    +0.417    +5.542    -3.125
   60.0 |    +0.375    +5.500    -3.083
   70.0 |    +0.375    +5.417    -3.167
   80.0 |    +0.333    +5.375    -3.167
   90.0 |    +0.292    +5.250    -3.250
  100.0 |    +0.250    +5.167    -3.250
  110.0 |    +0.167    +5.083    -3.375
  120.0 |    +0.125    +5.083    -3.417
  130.0 |    +0.042    +5.000    -3.417
  140.0 |    +0.042    +4.958    -3.458
  150.0 |    -0.083    +4.958    -3.583
  160.0 |    -0.042    +4.917    -3.625
  170.0 |    -0.083    +4.875    -3.625
  180.0 |    -0.083    +4.917    -3.667
  190.0 |    -0.083    +4.917    -3.667
  200.0 |    -0.042    +4.958    -3.667
  210.0 |    +0.000    +5.000    -3.708
  220.0 |    +0.000    +5.125    -3.708
  230.0 |    +0.083    +5.125    -3.708
  240.0 |    +0.042    +5.208    -3.667
  250.0 |    +0.125    +5.333    -3.583
  260.0 |    +0.208    +5.375    -3.625
  270.0 |    +0.250    +5.458    -3.542
  280.0 |    +0.333    +5.542    -3.458
  290.0 |    +0.333    +5.583    -3.417
  300.0 |    +0.375    +5.625    -3.375
  310.0 |    +0.417    +5.708    -3.292
  320.0 |    +0.458    +5.708    -3.250
  330.0 |    +0.500    +5.833    -3.250
  340.0 |    +0.500    +5.792    -3.167
  350.0 |    +0.500    +5.833    -3.125
  fit: amp=0.283  phase=1.3 deg  argmin=150.0  argmax=330.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.083    +6.792    -2.708
   10.0 |    +1.083    +6.625    -2.708
   20.0 |    +1.042    +6.500    -2.625
   30.0 |    +0.875    +6.333    -2.667
   40.0 |    +0.833    +6.125    -2.667
   50.0 |    +0.708    +5.875    -2.708
   60.0 |    +0.583    +5.667    -2.708
   70.0 |    +0.500    +5.500    -2.792
   80.0 |    +0.375    +5.292    -2.917
   90.0 |    +0.250    +5.083    -3.000
  100.0 |    +0.125    +4.833    -3.083
  110.0 |    +0.083    +4.667    -3.250
  120.0 |    -0.083    +4.500    -3.417
  130.0 |    -0.208    +4.333    -3.583
  140.0 |    -0.333    +4.250    -3.708
  150.0 |    -0.375    +4.208    -3.792
  160.0 |    -0.458    +4.167    -3.917
  170.0 |    -0.500    +4.125    -3.917
  180.0 |    -0.542    +4.167    -3.958
  190.0 |    -0.542    +4.167    -4.042
  200.0 |    -0.458    +4.250    -4.125
  210.0 |    -0.417    +4.292    -4.167
  220.0 |    -0.375    +4.458    -4.125
  230.0 |    -0.333    +4.667    -4.042
  240.0 |    -0.208    +4.875    -4.000
  250.0 |    -0.125    +5.167    -3.958
  260.0 |    +0.125    +5.417    -3.875
  270.0 |    +0.208    +5.583    -3.708
  280.0 |    +0.333    +5.875    -3.583
  290.0 |    +0.542    +6.167    -3.458
  300.0 |    +0.708    +6.333    -3.333
  310.0 |    +0.917    +6.500    -3.125
  320.0 |    +0.917    +6.667    -2.958
  330.0 |    +0.917    +6.792    -2.917
  340.0 |    +0.958    +6.792    -2.833
  350.0 |    +1.000    +6.792    -2.708
  fit: amp=0.789  phase=0.8 deg  argmin=180.0  argmax=0.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +3.458   +10.000    -1.333
   10.0 |    +3.167    +9.583    -1.250
   20.0 |    +2.792    +9.042    -1.333
   30.0 |    +2.458    +8.417    -1.375
   40.0 |    +2.083    +7.708    -1.500
   50.0 |    +1.667    +7.042    -1.708
   60.0 |    +1.292    +6.333    -1.917
   70.0 |    +0.958    +5.708    -2.042
   80.0 |    +0.542    +5.083    -2.208
   90.0 |    +0.208    +4.500    -2.417
  100.0 |    -0.125    +4.083    -2.708
  110.0 |    -0.333    +3.667    -3.000
  120.0 |    -0.625    +3.292    -3.333
  130.0 |    -0.875    +2.958    -3.625
  140.0 |    -1.208    +2.625    -3.958
  150.0 |    -1.500    +2.375    -4.250
  160.0 |    -1.667    +2.167    -4.625
  170.0 |    -1.875    +2.000    -4.917
  180.0 |    -2.042    +1.917    -5.250
  190.0 |    -2.208    +2.000    -5.500
  200.0 |    -2.250    +2.125    -5.708
  210.0 |    -2.167    +2.333    -5.917
  220.0 |    -1.958    +2.625    -6.000
  230.0 |    -1.792    +3.042    -5.917
  240.0 |    -1.375    +3.750    -5.750
  250.0 |    -0.958    +4.500    -5.500
  260.0 |    -0.333    +5.417    -5.125
  270.0 |    +0.167    +6.458    -4.667
  280.0 |    +0.750    +7.542    -4.125
  290.0 |    +1.375    +8.375    -3.583
  300.0 |    +2.000    +9.208    -3.042
  310.0 |    +2.458    +9.833    -2.458
  320.0 |    +2.917   +10.208    -2.042
  330.0 |    +3.333   +10.417    -1.792
  340.0 |    +3.500   +10.458    -1.583
  350.0 |    +3.542   +10.292    -1.417
  fit: amp=2.707  phase=0.2 deg  argmin=200.0  argmax=350.0
