Model: google/gemma-2-2b
L21H4 plane (SV0, SV2): sigma_0=2.354  sigma_2=1.984
tokens: ' he'=693  ' she'=1284

BASELINE:
  neutral: +1.167
  plus: +5.375
  minus: -5.208

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.333    +5.833    -4.917
   15.0 |    +1.292    +5.833    -4.875
   30.0 |    +1.250    +5.750    -4.792
   45.0 |    +1.250    +5.708    -4.833
   60.0 |    +1.208    +5.583    -4.833
   75.0 |    +1.208    +5.333    -4.917
   90.0 |    +1.167    +5.292    -5.000
  105.0 |    +1.125    +5.167    -5.042
  120.0 |    +1.083    +5.042    -5.250
  135.0 |    +1.000    +4.917    -5.333
  150.0 |    +0.958    +4.917    -5.500
  165.0 |    +0.958    +4.917    -5.583
  180.0 |    +0.958    +4.917    -5.708
  195.0 |    +0.958    +4.958    -5.792
  210.0 |    +0.958    +5.042    -5.792
  225.0 |    +1.042    +5.167    -5.792
  240.0 |    +1.083    +5.292    -5.750
  255.0 |    +1.125    +5.417    -5.667
  270.0 |    +1.125    +5.542    -5.542
  285.0 |    +1.167    +5.667    -5.458
  300.0 |    +1.250    +5.750    -5.292
  315.0 |    +1.250    +5.833    -5.167
  330.0 |    +1.292    +5.875    -5.042
  345.0 |    +1.333    +5.958    -5.000
  fit: amp=0.175  phase=-0.4 deg  argmin=150.0  argmax=0.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.792    +7.083    -4.208
   15.0 |    +1.750    +6.875    -4.083
   30.0 |    +1.708    +6.542    -4.083
   45.0 |    +1.583    +6.250    -4.083
   60.0 |    +1.417    +5.792    -4.167
   75.0 |    +1.250    +5.375    -4.333
   90.0 |    +1.167    +5.042    -4.583
  105.0 |    +1.000    +4.750    -4.833
  120.0 |    +0.875    +4.458    -5.167
  135.0 |    +0.750    +4.292    -5.583
  150.0 |    +0.708    +4.125    -5.917
  165.0 |    +0.708    +4.042    -6.250
  180.0 |    +0.583    +4.125    -6.417
  195.0 |    +0.625    +4.167    -6.625
  210.0 |    +0.583    +4.333    -6.750
  225.0 |    +0.667    +4.583    -6.708
  240.0 |    +0.833    +4.917    -6.583
  255.0 |    +1.042    +5.417    -6.417
  270.0 |    +1.125    +5.833    -6.125
  285.0 |    +1.292    +6.208    -5.833
  300.0 |    +1.458    +6.583    -5.333
  315.0 |    +1.583    +6.875    -5.000
  330.0 |    +1.667    +7.083    -4.667
  345.0 |    +1.792    +7.208    -4.375
  fit: amp=0.591  phase=0.9 deg  argmin=180.0  argmax=0.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +3.792   +11.917    -2.000
   15.0 |    +3.583   +11.000    -1.792
   30.0 |    +3.167    +9.667    -1.792
   45.0 |    +2.667    +8.250    -1.958
   60.0 |    +2.167    +6.792    -2.208
   75.0 |    +1.583    +5.417    -2.583
   90.0 |    +1.167    +4.375    -3.208
  105.0 |    +0.792    +3.542    -4.042
  120.0 |    +0.458    +2.958    -5.042
  135.0 |    +0.042    +2.458    -6.167
  150.0 |    -0.250    +2.250    -7.208
  165.0 |    -0.458    +2.083    -8.250
  180.0 |    -0.625    +2.042    -9.125
  195.0 |    -0.667    +2.167    -9.792
  210.0 |    -0.583    +2.542   -10.042
  225.0 |    -0.417    +3.167   -10.042
  240.0 |    +0.000    +4.042    -9.875
  255.0 |    +0.583    +5.250    -9.292
  270.0 |    +1.125    +6.875    -8.292
  285.0 |    +1.875    +8.667    -6.958
  300.0 |    +2.500   +10.333    -5.583
  315.0 |    +3.125   +11.458    -4.250
  330.0 |    +3.625   +12.167    -3.167
  345.0 |    +3.792   +12.271    -2.375
  fit: amp=2.186  phase=0.0 deg  argmin=195.0  argmax=0.0
