/Users/mkanaka/Documents/GitHub/Beyond-Components/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
Running 108 specs across GPT-2 small
  layers: [9, 10, 11], heads: 0-11, dim pairs: [(0, 1), (1, 2), (2, 7)]
Loading gpt2-small...
Loaded pretrained model gpt2-small into HookedTransformer
  Model loaded: 12L, 12H, d=768
  Target: L10 H2, SVD dims (2, 7), resid L10, T=99.0
  Sanity checks...
  Sanity OK  (activation shape (1, 4, 768))

=== DECODE COHERENCE SWEEP (all heads, all layers) ===

===========================================================================
DECODE COHERENCE SWEEP (36 angles, top_k=50)
===========================================================================
  head                  mean_top1  mean_margin    mean_ent     min_ent
  L9H0(0,1)                 4.866        0.639       3.830       3.732
  L9H0(1,2)                 5.832        0.942       3.789       3.621
  L9H0(2,7)                 4.568        0.721       3.848       3.782
  L9H1(0,1)                 4.754        0.866       3.817       3.663
  L9H1(1,2)                 6.033        1.171       3.743       3.568
  L9H1(2,7)                 5.551        1.004       3.797       3.679
  L9H2(0,1)                 5.114        0.734       3.838       3.761
  L9H2(1,2)                 6.058        1.208       3.762       3.588
  L9H2(2,7)                 6.150        1.132       3.753       3.486
  L9H3(0,1)                 2.905        0.411       3.893       3.867
  L9H3(1,2)                 3.700        0.435       3.887       3.861
  L9H3(2,7)                 3.541        0.430       3.893       3.877
  L9H4(0,1)                 7.133        1.051       3.781       3.502
  L9H4(1,2)                 8.539        1.040       3.755       3.473
  L9H4(2,7)                 7.525        0.884       3.809       3.587
  L9H5(0,1)                 6.858        1.380       3.653       3.114
  L9H5(1,2)                 8.409        1.298       3.658       3.082
  L9H5(2,7)                 7.623        1.287       3.733       3.608
  L9H6(0,1)                 6.949        1.371       3.706       3.408
  L9H6(1,2)                 7.576        1.370       3.650       3.095
  L9H6(2,7)                 7.111        1.118       3.690       3.181
  L9H7(0,1)                13.133        3.868       1.981       1.453
  L9H7(1,2)                12.269        4.925       1.838       1.040
  L9H7(2,7)                 7.911        3.076       2.816       1.058
  L9H8(0,1)                 8.932        0.994       3.738       3.490
  L9H8(1,2)                10.876        1.325       3.608       3.027
  L9H8(2,7)                 8.454        1.449       3.638       3.436
  L9H9(0,1)                 7.836        1.386       3.660       3.301
  L9H9(1,2)                 7.262        1.093       3.750       3.566
  L9H9(2,7)                 6.911        1.055       3.781       3.537
  L9H10(0,1)                4.139        0.687       3.834       3.696
  L9H10(1,2)                4.775        0.917       3.780       3.665
  L9H10(2,7)                3.986        0.878       3.824       3.715
  L9H11(0,1)               10.444        2.906       2.536       1.647
  L9H11(1,2)               13.902        3.859       1.903       0.794
  L9H11(2,7)               11.884        3.835       2.046       0.806
  L10H0(0,1)               10.106        1.911       3.381       2.198
  L10H0(1,2)               10.371        1.730       3.436       2.396
  L10H0(2,7)               10.241        1.953       3.292       2.372
  L10H1(0,1)                6.226        1.362       3.724       3.533
  L10H1(1,2)                6.303        1.390       3.716       3.360
  L10H1(2,7)                6.301        1.183       3.727       3.514
  L10H2(0,1)                8.186        1.191       3.655       3.196
  L10H2(1,2)                9.219        1.261       3.569       3.153
  L10H2(2,7)                8.333        1.191       3.656       3.376
  L10H3(0,1)               11.808        2.652       2.651       1.291
  L10H3(1,2)               13.195        4.551       1.770       0.454
  L10H3(2,7)               11.136        3.669       2.232       0.806
  L10H4(0,1)                8.273        1.724       3.209       1.976
  L10H4(1,2)               11.711        3.470       2.201       0.954
  L10H4(2,7)                8.168        2.520       2.841       1.172
  L10H5(0,1)                8.755        2.515       2.820       1.902
  L10H5(1,2)                9.711        3.216       2.570       0.854
  L10H5(2,7)                8.155        1.867       3.242       1.689
  L10H6(0,1)                8.986        2.072       3.262       2.164
  L10H6(1,2)                8.409        1.904       3.326       2.056
  L10H6(2,7)                7.564        1.334       3.615       3.153
  L10H7(0,1)                5.580        0.953       3.816       3.702
  L10H7(1,2)                6.715        1.194       3.751       3.579
  L10H7(2,7)                6.302        0.831       3.803       3.690
  L10H8(0,1)                5.378        1.627       3.599       3.156
  L10H8(1,2)                7.238        2.301       3.238       2.608
  L10H8(2,7)                7.268        2.151       3.066       1.964
  L10H9(0,1)               12.388        3.331       2.112       1.472
  L10H9(1,2)               10.492        3.582       2.183       1.446
  L10H9(2,7)                7.618        2.697       2.884       1.500
  L10H10(0,1)               6.964        1.053       3.718       3.476
  L10H10(1,2)               9.558        1.614       3.424       2.823
