Model: gpt2
L9H7 plane (SV1, SV2): sigma_1=8.869  sigma_2=8.459
tokens: ' he'=339  ' she'=673

BASELINE:
  neutral: +1.188
  plus: +5.312
  minus: -4.312

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.375    +4.125    -4.875
   15.0 |    -0.375    +4.312    -5.062
   30.0 |    -0.229    +4.625    -5.125
   45.0 |    -0.062    +4.938    -5.125
   60.0 |    +0.292    +5.250    -5.125
   75.0 |    +0.708    +5.688    -5.000
   90.0 |    +1.167    +6.000    -4.875
  105.0 |    +1.625    +6.312    -4.750
  120.0 |    +2.083    +6.500    -4.500
  135.0 |    +2.458    +6.750    -4.250
  150.0 |    +2.750    +6.750    -4.000
  165.0 |    +2.896    +6.812    -3.812
  180.0 |    +2.958    +6.625    -3.625
  195.0 |    +2.875    +6.438    -3.500
  210.0 |    +2.667    +6.125    -3.438
  225.0 |    +2.354    +5.875    -3.438
  240.0 |    +1.979    +5.500    -3.500
  255.0 |    +1.583    +5.125    -3.500
  270.0 |    +1.167    +4.812    -3.625
  285.0 |    +0.771    +4.500    -3.875
  300.0 |    +0.438    +4.250    -4.062
  315.0 |    +0.125    +4.062    -4.312
  330.0 |    -0.125    +4.062    -4.500
  345.0 |    -0.333    +4.062    -4.750
  fit: amp=1.672  phase=-179.6 deg  argmin=0.0  argmax=180.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -2.833    +1.688    -6.188
   15.0 |    -2.979    +2.125    -6.562
   30.0 |    -2.875    +2.688    -6.875
   45.0 |    -2.479    +3.625    -6.812
   60.0 |    -1.688    +4.688    -6.750
   75.0 |    -0.521    +5.812    -6.500
   90.0 |    +0.958    +6.938    -6.125
  105.0 |    +2.396    +7.812    -5.625
  120.0 |    +3.719    +8.625    -5.000
  135.0 |    +4.833    +9.000    -4.250
  150.0 |    +5.625    +9.250    -3.500
  165.0 |    +6.062    +9.250    -2.875
  180.0 |    +6.208    +9.125    -2.250
  195.0 |    +5.969    +8.500    -2.000
  210.0 |    +5.438    +7.938    -1.812
  225.0 |    +4.583    +6.938    -1.812
  240.0 |    +3.438    +6.000    -1.875
  255.0 |    +2.208    +4.875    -2.125
  270.0 |    +1.042    +3.750    -2.562
  285.0 |    +0.229    +2.812    -3.125
  300.0 |    -0.583    +2.125    -3.812
  315.0 |    -1.375    +1.688    -4.500
  330.0 |    -2.000    +1.562    -5.125
  345.0 |    -2.500    +1.562    -5.750
  fit: amp=4.598  phase=-177.5 deg  argmin=15.0  argmax=180.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -9.188    -4.938   -11.562
   15.0 |    -9.250    -5.000   -11.875
   30.0 |    -8.771    -4.438   -11.438
   45.0 |    -7.948    -3.250   -10.562
   60.0 |    -6.854    +0.000    -9.562
   75.0 |    -3.339    +3.219    -8.500
   90.0 |    +0.318    +6.594    -7.688
  105.0 |    +3.344    +9.438    -6.938
  120.0 |    +7.635   +12.000    -4.812
  135.0 |   +11.312   +14.125    -1.375
  150.0 |   +13.458   +15.812    +1.062
  165.0 |   +14.583   +16.875    +2.375
  180.0 |   +14.729   +17.250    +2.688
  195.0 |   +14.000   +16.250    +2.438
  210.0 |   +12.375   +14.250    +1.750
  225.0 |   +10.229   +11.688    +1.188
  240.0 |    +7.615    +8.688    +0.875
  255.0 |    +4.000    +4.625    +0.750
  270.0 |    +1.021    +1.000    +0.375
  285.0 |    -0.542    +0.438    -1.812
  300.0 |    -3.271    -0.500    -4.750
  315.0 |    -5.729    -2.125    -7.312
  330.0 |    -7.490    -3.438    -9.125
  345.0 |    -8.604    -4.500   -10.625
  fit: amp=12.162  phase=-176.8 deg  argmin=15.0  argmax=180.0
