Model: meta-llama/Llama-3.2-3B
L26H14 plane (SV2, SV3): sigma_2=1.143  sigma_3=0.972
tokens: ' he'=568  ' she'=1364

BASELINE:
  neutral: +1.146
  plus: +3.875
  minus: -3.833

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.312    +2.292    -5.021
   10.0 |    +0.396    +2.375    -4.625
   20.0 |    +0.458    +2.458    -4.354
   30.0 |    +0.583    +2.562    -3.958
   40.0 |    +0.667    +2.708    -3.646
   50.0 |    +0.771    +2.875    -3.375
   60.0 |    +0.917    +3.062    -3.083
   70.0 |    +1.042    +3.292    -2.875
   80.0 |    +1.229    +3.562    -2.667
   90.0 |    +1.354    +3.812    -2.479
  100.0 |    +1.479    +4.167    -2.312
  110.0 |    +1.688    +4.417    -2.229
  120.0 |    +1.792    +4.667    -2.167
  130.0 |    +1.938    +4.938    -2.104
  140.0 |    +2.042    +5.146    -2.104
  150.0 |    +2.104    +5.354    -2.146
  160.0 |    +2.167    +5.500    -2.271
  170.0 |    +2.167    +5.583    -2.396
  180.0 |    +2.229    +5.625    -2.562
  190.0 |    +2.167    +5.604    -2.812
  200.0 |    +2.083    +5.562    -3.146
  210.0 |    +1.938    +5.417    -3.500
  220.0 |    +1.812    +5.250    -3.854
  230.0 |    +1.646    +5.021    -4.229
  240.0 |    +1.500    +4.812    -4.562
  250.0 |    +1.271    +4.396    -4.979
  260.0 |    +1.083    +4.125    -5.271
  270.0 |    +0.917    +3.812    -5.542
  280.0 |    +0.729    +3.521    -5.792
  290.0 |    +0.562    +3.229    -5.896
  300.0 |    +0.438    +2.979    -5.979
  310.0 |    +0.354    +2.771    -5.938
  320.0 |    +0.271    +2.562    -5.875
  330.0 |    +0.229    +2.417    -5.729
  340.0 |    +0.250    +2.312    -5.542
  350.0 |    +0.271    +2.271    -5.292
  fit: amp=0.972  phase=166.3 deg  argmin=330.0  argmax=180.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.938    +0.021    -6.875
   10.0 |    -0.646    +0.271    -5.896
   20.0 |    -0.375    +0.562    -4.875
   30.0 |    -0.083    +0.854    -3.917
   40.0 |    +0.167    +1.208    -3.083
   50.0 |    +0.417    +1.583    -2.438
   60.0 |    +0.729    +2.021    -1.917
   70.0 |    +1.000    +2.521    -1.542
   80.0 |    +1.354    +3.104    -1.208
   90.0 |    +1.667    +3.750    -0.938
  100.0 |    +2.062    +4.542    -0.688
  110.0 |    +2.479    +5.312    -0.417
  120.0 |    +2.938    +6.167    -0.125
  130.0 |    +3.396    +6.958    +0.167
  140.0 |    +3.792    +7.708    +0.333
  150.0 |    +4.208    +8.312    +0.542
  160.0 |    +4.500    +8.844    +0.646
  170.0 |    +4.708    +9.135    +0.562
  180.0 |    +4.771    +9.333    +0.312
  190.0 |    +4.667    +9.344    -0.146
  200.0 |    +4.479    +9.146    -0.938
  210.0 |    +4.104    +8.729    -2.021
  220.0 |    +3.604    +8.219    -3.271
  230.0 |    +3.021    +7.469    -4.604
  240.0 |    +2.271    +6.604    -5.812
  250.0 |    +1.521    +5.688    -6.833
  260.0 |    +0.729    +4.583    -7.667
  270.0 |    +0.000    +3.479    -8.250
  280.0 |    -0.646    +2.479    -8.688
  290.0 |    -1.146    +1.542    -8.979
  300.0 |    -1.500    +0.750    -9.146
  310.0 |    -1.667    +0.250    -9.188
  320.0 |    -1.708    -0.104    -9.083
  330.0 |    -1.625    -0.271    -8.771
  340.0 |    -1.479    -0.250    -8.375
  350.0 |    -1.188    -0.167    -7.729
  fit: amp=3.013  phase=164.1 deg  argmin=320.0  argmax=180.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -3.500    -3.438    -7.781
   10.0 |    -1.667    -1.646    -6.292
   20.0 |    -0.229    -0.250    -3.750
   30.0 |    +0.646    +0.562    -1.000
   40.0 |    +1.104    +1.146    +0.542
   50.0 |    +1.333    +1.479    +1.125
   60.0 |    +1.458    +1.688    +1.417
   70.0 |    +1.604    +1.958    +1.438
   80.0 |    +1.833    +2.396    +1.396
   90.0 |    +2.271    +3.188    +1.500
  100.0 |    +3.104    +4.771    +1.917
  110.0 |    +4.396    +7.167    +2.729
  120.0 |    +6.250    +9.875    +4.167
  130.0 |    +8.250   +12.458    +6.208
  140.0 |   +10.167   +14.833    +8.417
  150.0 |   +11.729   +16.833   +10.271
  160.0 |   +12.958   +18.417   +11.562
  170.0 |   +13.792   +19.583   +12.250
  180.0 |   +14.083   +20.167   +12.229
  190.0 |   +13.958   +20.250   +11.521
  200.0 |   +13.375   +19.667    +9.833
  210.0 |   +12.167   +18.583    +6.469
  220.0 |   +10.333   +17.000    +2.677
  230.0 |    +7.896   +14.625    +0.344
  240.0 |    +5.260   +11.594    -0.656
  250.0 |    +2.406    +8.135    -0.417
  260.0 |    -0.583    +4.281    +0.458
  270.0 |    -3.083    +0.406    +1.083
  280.0 |    -4.927    -3.021    +1.208
  290.0 |    -6.177    -5.750    +0.854
  300.0 |    -7.104    -7.521    -0.083
  310.0 |    -7.833    -8.479    -1.625
  320.0 |    -8.271    -8.833    -3.979
  330.0 |    -8.062    -8.333    -6.458
  340.0 |    -7.125    -6.938    -8.083
  350.0 |    -5.458    -5.104    -8.396
  fit: amp=9.363  phase=161.6 deg  argmin=320.0  argmax=180.0
