Model: microsoft/Phi-3-mini-4k-instruct
L24H28 plane (SV3, SV7): sigma_3=3.999  sigma_7=3.750
tokens: 'item'=2944  'operation'=5858

BASELINE:
  neutral: +4.844
  plus: +5.552
  minus: -3.547

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +4.667    +5.417    -3.630
   10.0 |    +4.688    +5.422    -3.620
   20.0 |    +4.646    +5.443    -3.661
   30.0 |    +4.667    +5.453    -3.615
   40.0 |    +4.635    +5.448    -3.609
   50.0 |    +4.708    +5.490    -3.594
   60.0 |    +4.708    +5.495    -3.583
   70.0 |    +4.760    +5.568    -3.589
   80.0 |    +4.792    +5.568    -3.547
   90.0 |    +4.823    +5.594    -3.552
  100.0 |    +4.844    +5.630    -3.526
  110.0 |    +4.885    +5.661    -3.505
  120.0 |    +4.917    +5.667    -3.495
  130.0 |    +4.958    +5.719    -3.458
  140.0 |    +4.979    +5.703    -3.479
  150.0 |    +4.958    +5.698    -3.474
  160.0 |    +5.010    +5.740    -3.484
  170.0 |    +5.010    +5.719    -3.453
  180.0 |    +5.021    +5.708    -3.453
  190.0 |    +4.990    +5.729    -3.474
  200.0 |    +5.042    +5.719    -3.443
  210.0 |    +5.000    +5.703    -3.464
  220.0 |    +4.969    +5.677    -3.474
  230.0 |    +4.927    +5.646    -3.490
  240.0 |    +4.948    +5.599    -3.516
  250.0 |    +4.927    +5.620    -3.526
  260.0 |    +4.906    +5.599    -3.542
  270.0 |    +4.865    +5.542    -3.542
  280.0 |    +4.833    +5.510    -3.552
  290.0 |    +4.792    +5.495    -3.594
  300.0 |    +4.771    +5.484    -3.589
  310.0 |    +4.729    +5.422    -3.620
  320.0 |    +4.688    +5.411    -3.656
  330.0 |    +4.688    +5.417    -3.641
  340.0 |    +4.656    +5.422    -3.620
  350.0 |    +4.656    +5.427    -3.641
  fit: amp=0.184  phase=-174.0 deg  argmin=40.0  argmax=200.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +4.281    +5.073    -3.786
   10.0 |    +4.240    +5.099    -3.776
   20.0 |    +4.260    +5.109    -3.766
   30.0 |    +4.302    +5.177    -3.781
   40.0 |    +4.365    +5.214    -3.734
   50.0 |    +4.385    +5.318    -3.719
   60.0 |    +4.500    +5.354    -3.651
   70.0 |    +4.562    +5.448    -3.625
   80.0 |    +4.656    +5.557    -3.599
   90.0 |    +4.771    +5.625    -3.568
  100.0 |    +4.875    +5.708    -3.474
  110.0 |    +4.938    +5.802    -3.464
  120.0 |    +5.052    +5.854    -3.406
  130.0 |    +5.146    +5.906    -3.359
  140.0 |    +5.219    +5.969    -3.312
  150.0 |    +5.250    +5.990    -3.307
  160.0 |    +5.323    +5.990    -3.292
  170.0 |    +5.344    +6.021    -3.276
  180.0 |    +5.375    +6.021    -3.271
  190.0 |    +5.375    +5.969    -3.292
  200.0 |    +5.365    +5.948    -3.307
  210.0 |    +5.344    +5.917    -3.328
  220.0 |    +5.292    +5.875    -3.375
  230.0 |    +5.229    +5.792    -3.380
  240.0 |    +5.156    +5.719    -3.432
  250.0 |    +5.094    +5.651    -3.479
  260.0 |    +4.990    +5.578    -3.495
  270.0 |    +4.854    +5.490    -3.531
  280.0 |    +4.802    +5.406    -3.594
  290.0 |    +4.677    +5.328    -3.635
  300.0 |    +4.583    +5.255    -3.703
  310.0 |    +4.500    +5.208    -3.698
  320.0 |    +4.427    +5.151    -3.729
  330.0 |    +4.354    +5.083    -3.745
  340.0 |    +4.302    +5.057    -3.766
  350.0 |    +4.302    +5.052    -3.776
  fit: amp=0.564  phase=-173.7 deg  argmin=10.0  argmax=180.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +2.714    +3.625    -4.354
   10.0 |    +2.698    +3.641    -4.328
   20.0 |    +2.823    +3.781    -4.370
   30.0 |    +2.927    +3.922    -4.344
   40.0 |    +3.135    +4.146    -4.276
   50.0 |    +3.365    +4.391    -4.188
   60.0 |    +3.656    +4.708    -4.047
   70.0 |    +3.927    +4.990    -3.922
   80.0 |    +4.271    +5.323    -3.740
   90.0 |    +4.521    +5.635    -3.615
  100.0 |    +4.875    +5.938    -3.417
  110.0 |    +5.167    +6.198    -3.250
  120.0 |    +5.417    +6.375    -3.068
  130.0 |    +5.729    +6.562    -2.932
  140.0 |    +5.990    +6.688    -2.812
  150.0 |    +6.156    +6.781    -2.740
  160.0 |    +6.354    +6.844    -2.672
  170.0 |    +6.458    +6.833    -2.630
  180.0 |    +6.531    +6.781    -2.630
  190.0 |    +6.552    +6.677    -2.672
  200.0 |    +6.510    +6.573    -2.724
  210.0 |    +6.396    +6.427    -2.839
  220.0 |    +6.250    +6.292    -2.938
  230.0 |    +6.094    +6.146    -3.052
  240.0 |    +5.865    +5.917    -3.198
  250.0 |    +5.615    +5.719    -3.349
  260.0 |    +5.344    +5.500    -3.490
  270.0 |    +5.021    +5.234    -3.635
  280.0 |    +4.677    +4.979    -3.724
  290.0 |    +4.333    +4.734    -3.875
  300.0 |    +4.000    +4.464    -3.943
  310.0 |    +3.688    +4.214    -4.031
  320.0 |    +3.385    +3.990    -4.125
  330.0 |    +3.115    +3.823    -4.177
  340.0 |    +2.917    +3.667    -4.234
  350.0 |    +2.802    +3.594    -4.307
  fit: amp=1.896  phase=-173.2 deg  argmin=10.0  argmax=190.0
