Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.703
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -2.459
  plus: +9.360
  minus: -7.504

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -2.914    +8.022    -7.681
   15.0 |    -2.956    +7.916    -7.760
   30.0 |    -2.965    +7.913    -7.817
   45.0 |    -2.942    +8.012    -7.852
   60.0 |    -2.887    +8.205    -7.867
   75.0 |    -2.804    +8.477    -7.861
   90.0 |    -2.696    +8.804    -7.836
  105.0 |    -2.570    +9.158    -7.790
  120.0 |    -2.431    +9.511    -7.725
  135.0 |    -2.290    +9.839    -7.640
  150.0 |    -2.155   +10.123    -7.537
  165.0 |    -2.038   +10.347    -7.420
  180.0 |    -1.947   +10.503    -7.298
  195.0 |    -1.891   +10.583    -7.183
  210.0 |    -1.875   +10.584    -7.085
  225.0 |    -1.901   +10.508    -7.017
  240.0 |    -1.967   +10.356    -6.987
  255.0 |    -2.067   +10.136    -6.997
  270.0 |    -2.193    +9.857    -7.045
  285.0 |    -2.334    +9.532    -7.127
  300.0 |    -2.479    +9.180    -7.232
  315.0 |    -2.617    +8.826    -7.350
  330.0 |    -2.740    +8.497    -7.470
  345.0 |    -2.841    +8.221    -7.583
  fit: amp=0.545  phase=-152.5 deg  argmin=30.0  argmax=210.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -3.684    +5.229    -7.989
   15.0 |    -3.786    +4.972    -8.152
   30.0 |    -3.798    +4.966    -8.242
   45.0 |    -3.724    +5.207    -8.276
   60.0 |    -3.573    +5.718    -8.271
   75.0 |    -3.354    +6.522    -8.240
   90.0 |    -3.071    +7.575    -8.189
  105.0 |    -2.726    +8.722    -8.109
  120.0 |    -2.331    +9.788    -7.990
  135.0 |    -1.912   +10.692    -7.809
  150.0 |    -1.506   +11.419    -7.543
  165.0 |    -1.151   +11.968    -7.178
  180.0 |    -0.874   +12.336    -6.737
  195.0 |    -0.698   +12.516    -6.287
  210.0 |    -0.641   +12.504    -5.917
  225.0 |    -0.713   +12.300    -5.690
  240.0 |    -0.913   +11.918    -5.625
  255.0 |    -1.231   +11.373    -5.714
  270.0 |    -1.636   +10.668    -5.932
  285.0 |    -2.077    +9.792    -6.249
  300.0 |    -2.508    +8.749    -6.631
  315.0 |    -2.897    +7.621    -7.035
  330.0 |    -3.230    +6.575    -7.418
  345.0 |    -3.496    +5.760    -7.743
  fit: amp=1.581  phase=-153.0 deg  argmin=30.0  argmax=210.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -5.854    +0.851    -8.411
   15.0 |    -6.290    +0.446    -8.784
   30.0 |    -6.336    +0.411    -8.862
   45.0 |    -6.011    +0.640    -8.696
   60.0 |    -5.435    +1.222    -8.455
   75.0 |    -4.748    +2.420    -8.336
   90.0 |    -3.988    +4.880    -8.353
  105.0 |    -2.914    +9.033    -8.298
  120.0 |    -1.443   +11.308    -8.037
  135.0 |    -0.217   +11.048    -7.432
  150.0 |    +0.488    +9.758    -6.539
  165.0 |    +0.773    +9.622    -5.665
  180.0 |    +0.812   +10.393    -5.003
  195.0 |    +0.750   +11.430    -4.373
  210.0 |    +0.694   +12.359    -3.881
  225.0 |    +0.607   +13.361    -3.847
  240.0 |    +0.339   +13.419    -4.094
  255.0 |    -0.085   +12.419    -4.349
  270.0 |    -0.804   +11.345    -4.496
  285.0 |    -1.697   +10.075    -4.621
  300.0 |    -2.491    +7.616    -4.985
  315.0 |    -3.249    +4.648    -5.773
  330.0 |    -4.124    +2.920    -6.786
  345.0 |    -5.076    +1.648    -7.729
  fit: amp=3.647  phase=-157.1 deg  argmin=30.0  argmax=180.0
