Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.702
tokens: 'his'=670  'her'=902

BASELINE:
  neutral: +1.042
  plus: +1.250
  minus: -4.750

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.099    +0.938    -3.812
   15.0 |    +1.203    +1.062    -4.000
   30.0 |    +1.297    +1.062    -4.250
   45.0 |    +1.354    +1.250    -4.500
   60.0 |    +1.396    +1.312    -4.812
   75.0 |    +1.432    +1.375    -5.062
   90.0 |    +1.411    +1.438    -5.438
  105.0 |    +1.339    +1.500    -5.750
  120.0 |    +1.266    +1.500    -5.875
  135.0 |    +1.193    +1.562    -6.125
  150.0 |    +1.120    +1.562    -6.125
  165.0 |    +1.026    +1.562    -6.000
  180.0 |    +0.974    +1.500    -5.688
  195.0 |    +0.906    +1.438    -5.438
  210.0 |    +0.875    +1.438    -5.125
  225.0 |    +0.833    +1.312    -4.812
  240.0 |    +0.812    +1.250    -4.625
  255.0 |    +0.792    +1.188    -4.500
  270.0 |    +0.802    +1.125    -4.188
  285.0 |    +0.802    +1.062    -4.062
  300.0 |    +0.833    +1.000    -3.938
  315.0 |    +0.885    +1.000    -3.938
  330.0 |    +0.948    +0.938    -3.875
  345.0 |    +1.031    +0.938    -3.812
  fit: amp=0.308  phase=76.1 deg  argmin=255.0  argmax=75.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +1.016    +0.500    -2.812
   15.0 |    +1.349    +0.625    -2.875
   30.0 |    +1.734    +1.000    -3.125
   45.0 |    +2.068    +1.500    -3.625
   60.0 |    +2.297    +2.062    -4.188
   75.0 |    +2.333    +2.188    -4.625
   90.0 |    +2.203    +2.250    -5.062
  105.0 |    +1.948    +2.312    -5.625
  120.0 |    +1.708    +2.312    -6.469
  135.0 |    +1.411    +2.312    -7.156
  150.0 |    +1.177    +2.312    -7.719
  165.0 |    +1.031    +2.375    -7.750
  180.0 |    +0.911    +2.375    -7.438
  195.0 |    +0.844    +2.312    -6.375
  210.0 |    +0.812    +2.062    -5.312
  225.0 |    +0.781    +1.875    -4.875
  240.0 |    +0.708    +1.688    -4.500
  255.0 |    +0.646    +1.500    -4.188
  270.0 |    +0.594    +1.250    -3.875
  285.0 |    +0.542    +1.062    -3.562
  300.0 |    +0.521    +0.875    -3.375
  315.0 |    +0.552    +0.812    -3.125
  330.0 |    +0.635    +0.688    -3.000
  345.0 |    +0.786    +0.625    -2.875
  fit: amp=0.794  phase=82.4 deg  argmin=300.0  argmax=75.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.401    -0.938    -3.031
   15.0 |    +1.125    -1.312    -2.375
   30.0 |    +3.029    +0.250    -0.312
   45.0 |    +4.339    +1.875    +1.656
   60.0 |    +4.417    +1.812    +1.531
   75.0 |    +3.281    -0.312    -0.188
   90.0 |    +1.060    -0.781    -2.062
  105.0 |    -0.341    +0.531    -2.781
  120.0 |    -1.031    +1.469    -3.281
  135.0 |    -1.154    +2.781    -2.844
  150.0 |    -0.961    +3.938    -1.531
  165.0 |    -0.646    +5.531    -0.781
  180.0 |    +0.370    +6.875    -1.188
  195.0 |    +1.177    +6.562    -1.125
  210.0 |    +0.615    +5.250    +0.812
  225.0 |    -0.224    +4.375    +0.625
  240.0 |    -0.177    +1.875    -0.875
  255.0 |    +0.182    +1.312    -3.875
  270.0 |    +0.323    +1.375    -3.938
  285.0 |    +0.250    +0.875    -3.375
  300.0 |    +0.135    +0.688    -3.062
  315.0 |    -0.167    +0.812    -2.750
  330.0 |    -0.917    +0.688    -2.625
  345.0 |    -1.115    +0.125    -2.875
  fit: amp=1.097  phase=49.1 deg  argmin=135.0  argmax=60.0
