Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.702
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -0.331
  plus: +7.094
  minus: -6.950

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.887    +5.344    -7.131
   15.0 |    -0.956    +5.231    -7.225
   30.0 |    -0.938    +5.275    -7.281
   45.0 |    -0.906    +5.469    -7.331
   60.0 |    -0.838    +5.756    -7.344
   75.0 |    -0.756    +6.138    -7.362
   90.0 |    -0.606    +6.612    -7.312
  105.0 |    -0.450    +7.037    -7.263
  120.0 |    -0.281    +7.481    -7.138
  135.0 |    -0.119    +7.869    -7.075
  150.0 |    +0.037    +8.175    -6.975
  165.0 |    +0.206    +8.438    -6.856
  180.0 |    +0.306    +8.512    -6.763
  195.0 |    +0.400    +8.519    -6.662
  210.0 |    +0.419    +8.500    -6.600
  225.0 |    +0.388    +8.331    -6.525
  240.0 |    +0.281    +8.156    -6.525
  255.0 |    +0.131    +7.856    -6.513
  270.0 |    -0.025    +7.500    -6.562
  285.0 |    -0.219    +7.088    -6.638
  300.0 |    -0.394    +6.650    -6.706
  315.0 |    -0.537    +6.275    -6.850
  330.0 |    -0.694    +5.875    -6.931
  345.0 |    -0.806    +5.544    -7.044
  fit: amp=0.676  phase=-154.0 deg  argmin=15.0  argmax=210.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -1.881    +1.856    -7.425
   15.0 |    -2.038    +1.656    -7.625
   30.0 |    -2.000    +1.725    -7.787
   45.0 |    -1.906    +2.181    -7.881
   60.0 |    -1.706    +2.925    -7.881
   75.0 |    -1.444    +3.969    -7.894
   90.0 |    -1.087    +5.331    -7.838
  105.0 |    -0.644    +6.825    -7.731
  120.0 |    -0.175    +8.100    -7.531
  135.0 |    +0.369    +9.044    -7.269
  150.0 |    +0.856    +9.722    -6.963
  165.0 |    +1.337   +10.041    -6.600
  180.0 |    +1.725   +10.119    -6.206
  195.0 |    +1.950   +10.022    -5.881
  210.0 |    +2.041    +9.944    -5.656
  225.0 |    +1.916    +9.669    -5.544
  240.0 |    +1.650    +9.353    -5.487
  255.0 |    +1.156    +8.769    -5.544
  270.0 |    +0.637    +8.025    -5.675
  285.0 |    +0.056    +7.056    -5.881
  300.0 |    -0.475    +5.881    -6.206
  315.0 |    -0.950    +4.569    -6.513
  330.0 |    -1.356    +3.419    -6.862
  345.0 |    -1.656    +2.525    -7.156
  fit: amp=2.010  phase=-154.2 deg  argmin=15.0  argmax=210.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -5.031    -2.987    -8.162
   15.0 |    -5.544    -3.944    -8.575
   30.0 |    -5.644    -4.300    -8.706
   45.0 |    -5.331    -4.169    -8.669
   60.0 |    -4.644    -3.325    -8.631
   75.0 |    -3.731    -2.619    -8.631
   90.0 |    -2.650    -1.319    -8.575
  105.0 |    -1.181    +1.753    -8.416
  120.0 |    +0.938    +4.347    -7.987
  135.0 |    +2.856    +5.919    -7.150
  150.0 |    +3.938    +6.350    -5.950
  165.0 |    +4.256    +6.225    -4.775
  180.0 |    +4.156    +6.931    -3.881
  195.0 |    +3.987    +6.794    -3.319
  210.0 |    +4.019    +5.513    -3.175
  225.0 |    +4.287    +5.025    -3.250
  240.0 |    +4.287    +6.519    -3.456
  255.0 |    +3.531    +6.931    -3.606
  270.0 |    +2.216    +6.638    -3.756
  285.0 |    +0.594    +6.206    -4.069
  300.0 |    -0.694    +4.025    -4.631
  315.0 |    -1.744    +1.431    -5.531
  330.0 |    -2.881    -0.275    -6.556
  345.0 |    -4.056    -1.644    -7.494
  fit: amp=5.228  phase=-156.3 deg  argmin=30.0  argmax=225.0
