Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.703
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -0.338
  plus: +7.076
  minus: -6.968

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.907    +5.337    -7.139
   15.0 |    -0.954    +5.247    -7.222
   30.0 |    -0.961    +5.291    -7.286
   45.0 |    -0.928    +5.465    -7.328
   60.0 |    -0.857    +5.757    -7.348
   75.0 |    -0.752    +6.140    -7.343
   90.0 |    -0.618    +6.580    -7.314
  105.0 |    -0.461    +7.038    -7.262
  120.0 |    -0.290    +7.475    -7.188
  135.0 |    -0.116    +7.858    -7.095
  150.0 |    +0.049    +8.164    -6.990
  165.0 |    +0.193    +8.380    -6.878
  180.0 |    +0.302    +8.502    -6.769
  195.0 |    +0.368    +8.534    -6.672
  210.0 |    +0.383    +8.479    -6.594
  225.0 |    +0.346    +8.344    -6.542
  240.0 |    +0.257    +8.132    -6.521
  255.0 |    +0.127    +7.847    -6.530
  270.0 |    -0.033    +7.499    -6.571
  285.0 |    -0.210    +7.102    -6.637
  300.0 |    -0.389    +6.677    -6.725
  315.0 |    -0.557    +6.253    -6.827
  330.0 |    -0.704    +5.865    -6.935
  345.0 |    -0.823    +5.550    -7.041
  fit: amp=0.673  phase=-154.2 deg  argmin=30.0  argmax=210.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -1.897    +1.908    -7.438
   15.0 |    -2.018    +1.654    -7.643
   30.0 |    -2.027    +1.747    -7.786
   45.0 |    -1.927    +2.176    -7.873
   60.0 |    -1.730    +2.914    -7.911
   75.0 |    -1.451    +3.975    -7.901
   90.0 |    -1.095    +5.335    -7.842
  105.0 |    -0.666    +6.795    -7.724
  120.0 |    -0.174    +8.088    -7.540
  135.0 |    +0.348    +9.067    -7.284
  150.0 |    +0.861    +9.695    -6.963
  165.0 |    +1.324   +10.006    -6.599
  180.0 |    +1.696   +10.080    -6.232
  195.0 |    +1.937   +10.021    -5.909
  210.0 |    +2.013    +9.895    -5.667
  225.0 |    +1.905    +9.683    -5.525
  240.0 |    +1.613    +9.324    -5.484
  255.0 |    +1.165    +8.781    -5.539
  270.0 |    +0.615    +8.031    -5.683
  285.0 |    +0.039    +7.057    -5.908
  300.0 |    -0.498    +5.874    -6.198
  315.0 |    -0.966    +4.587    -6.528
  330.0 |    -1.359    +3.407    -6.863
  345.0 |    -1.673    +2.497    -7.174
  fit: amp=2.008  phase=-154.2 deg  argmin=30.0  argmax=210.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -5.028    -2.965    -8.152
   15.0 |    -5.568    -3.888    -8.565
   30.0 |    -5.670    -4.204    -8.700
   45.0 |    -5.349    -4.108    -8.686
   60.0 |    -4.657    -3.276    -8.657
   75.0 |    -3.722    -2.613    -8.639
   90.0 |    -2.656    -1.296    -8.584
  105.0 |    -1.211    +1.780    -8.415
  120.0 |    +0.906    +4.360    -7.997
  135.0 |    +2.832    +5.948    -7.164
  150.0 |    +3.886    +6.388    -5.976
  165.0 |    +4.224    +6.269    -4.797
  180.0 |    +4.121    +6.895    -3.909
  195.0 |    +3.963    +6.774    -3.356
  210.0 |    +4.013    +5.470    -3.194
  225.0 |    +4.253    +5.055    -3.284
  240.0 |    +4.235    +6.539    -3.455
  255.0 |    +3.531    +6.946    -3.608
  270.0 |    +2.201    +6.602    -3.768
  285.0 |    +0.605    +6.237    -4.052
  300.0 |    -0.716    +4.004    -4.622
  315.0 |    -1.754    +1.445    -5.532
  330.0 |    -2.874    -0.274    -6.559
  345.0 |    -4.076    -1.653    -7.465
  fit: amp=5.218  phase=-156.2 deg  argmin=30.0  argmax=225.0
