Model: microsoft/Phi-3-mini-4k-instruct
L24H10 plane (SV0, SV1): sigma_0=9.415  sigma_1=7.702
tokens: 'his'=670  'their'=1009

BASELINE:
  neutral: -0.331
  plus: +6.469
  minus: -7.969

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -1.613    +4.938    -9.156
   15.0 |    -1.744    +4.812    -9.344
   30.0 |    -1.788    +4.812    -9.312
   45.0 |    -1.700    +4.875    -9.250
   60.0 |    -1.519    +5.094    -9.062
   75.0 |    -1.288    +5.344    -8.875
   90.0 |    -0.969    +5.719    -8.562
  105.0 |    -0.613    +6.125    -8.219
  120.0 |    -0.250    +6.531    -7.875
  135.0 |    +0.106    +7.000    -7.531
  150.0 |    +0.450    +7.375    -7.219
  165.0 |    +0.775    +7.719    -6.906
  180.0 |    +0.963    +7.969    -6.688
  195.0 |    +1.069    +8.188    -6.625
  210.0 |    +1.131    +8.188    -6.562
  225.0 |    +1.056    +8.062    -6.625
  240.0 |    +0.869    +7.844    -6.750
  255.0 |    +0.625    +7.562    -7.031
  270.0 |    +0.338    +7.250    -7.375
  285.0 |    -0.050    +6.781    -7.688
  300.0 |    -0.400    +6.375    -8.000
  315.0 |    -0.738    +5.969    -8.406
  330.0 |    -1.094    +5.562    -8.719
  345.0 |    -1.419    +5.188    -8.938
  fit: amp=1.443  phase=-153.1 deg  argmin=30.0  argmax=210.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -4.175    +2.000   -11.594
   15.0 |    -4.569    +1.562   -11.969
   30.0 |    -4.638    +1.438   -12.000
   45.0 |    -4.431    +1.688   -11.875
   60.0 |    -3.962    +2.219   -11.375
   75.0 |    -3.237    +3.094   -10.750
   90.0 |    -2.275    +4.219    -9.812
  105.0 |    -1.225    +5.469    -8.781
  120.0 |    -0.087    +6.719    -7.719
  135.0 |    +1.019    +8.062    -6.719
  150.0 |    +2.006    +9.219    -5.750
  165.0 |    +2.888   +10.219    -4.875
  180.0 |    +3.513   +10.938    -4.281
  195.0 |    +3.913   +11.438    -3.969
  210.0 |    +4.013   +11.562    -3.812
  225.0 |    +3.794   +11.281    -4.062
  240.0 |    +3.306   +10.688    -4.500
  255.0 |    +2.550    +9.875    -5.250
  270.0 |    +1.619    +8.812    -6.062
  285.0 |    +0.581    +7.531    -7.125
  300.0 |    -0.569    +6.219    -8.188
  315.0 |    -1.700    +4.844    -9.250
  330.0 |    -2.700    +3.719   -10.156
  345.0 |    -3.569    +2.750   -11.031
  fit: amp=4.329  phase=-153.1 deg  argmin=30.0  argmax=210.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |   -13.113    -8.562   -20.062
   15.0 |   -14.375    -9.938   -21.250
   30.0 |   -14.675   -10.344   -21.500
   45.0 |   -13.969    -9.500   -20.812
   60.0 |   -12.356    -7.625   -19.312
   75.0 |    -9.950    -4.719   -17.125
   90.0 |    -6.831    -1.094   -14.094
  105.0 |    -3.306    +3.000   -10.781
  120.0 |    +0.475    +7.344    -7.156
  135.0 |    +4.147   +11.688    -3.656
  150.0 |    +7.544   +15.625    -0.438
  165.0 |   +10.387   +18.938    +2.250
  180.0 |   +12.506   +21.375    +4.281
  195.0 |   +13.756   +22.750    +5.469
  210.0 |   +14.000   +23.188    +5.750
  225.0 |   +13.338   +22.375    +5.062
  240.0 |   +11.700   +20.500    +3.469
  255.0 |    +9.275   +17.688    +1.188
  270.0 |    +6.162   +14.031    -1.812
  285.0 |    +2.638    +9.844    -5.156
  300.0 |    -1.113    +5.500    -8.719
  315.0 |    -4.812    +1.250   -12.188
  330.0 |    -8.181    -2.750   -15.375
  345.0 |   -11.006    -6.125   -18.000
  fit: amp=14.370  phase=-153.1 deg  argmin=30.0  argmax=210.0
