Model: microsoft/Phi-3-mini-4k-instruct   L24H17 SV1,2  sigma=5.371,5.114
tokens: month=4098  upon=2501  hour=7234  year=1629
prompts: 3

 alpha     g_A1   g_phi1     g_A2   g_phi2   g_A2/A1     h_A1   h_phi1     h_A2   h_phi2   h_A2/A1
--------------------------------------------------------------------------------------------------------------
   1.0    0.629   +172.1    0.020   -116.8     0.032    0.307    -79.4    0.027     -0.9     0.088
   3.0    1.955   +172.1    0.136   -138.3     0.070    0.942    -77.4    0.192    +18.2     0.204
  10.0    8.055   +171.6    0.659   -119.3     0.082    3.363    -70.2    1.088    -24.0     0.324

Raw curves per alpha:
  alpha=1.0
       deg   g=l0-l180   h=l90-l270
       0.0      -1.854       -7.362
      10.0      -1.854       -7.445
      20.0      -1.812       -7.490
      30.0      -1.750       -7.536
      40.0      -1.688       -7.599
      50.0      -1.604       -7.628
      60.0      -1.458       -7.674
      70.0      -1.396       -7.747
      80.0      -1.292       -7.747
      90.0      -1.146       -7.784
     100.0      -1.021       -7.799
     110.0      -0.938       -7.802
     120.0      -0.854       -7.750
     130.0      -0.729       -7.734
     140.0      -0.688       -7.669
     150.0      -0.667       -7.615
     160.0      -0.625       -7.578
     170.0      -0.604       -7.534
     180.0      -0.625       -7.477
     190.0      -0.688       -7.432
     200.0      -0.688       -7.396
     210.0      -0.750       -7.326
     220.0      -0.875       -7.297
     230.0      -0.938       -7.273
     240.0      -1.000       -7.232
     250.0      -1.083       -7.203
     260.0      -1.229       -7.174
     270.0      -1.333       -7.206
     280.0      -1.438       -7.148
     290.0      -1.500       -7.164
     300.0      -1.604       -7.188
     310.0      -1.667       -7.172
     320.0      -1.771       -7.208
     330.0      -1.833       -7.227
     340.0      -1.854       -7.281
     350.0      -1.896       -7.326
  alpha=3.0
       deg   g=l0-l180   h=l90-l270
       0.0      -3.396       -6.940
      10.0      -3.312       -7.081
      20.0      -3.229       -7.253
      30.0      -3.000       -7.414
      40.0      -2.792       -7.586
      50.0      -2.500       -7.786
      60.0      -2.167       -8.013
      70.0      -1.812       -8.164
      80.0      -1.438       -8.344
      90.0      -1.000       -8.438
     100.0      -0.646       -8.470
     110.0      -0.292       -8.432
     120.0      +0.000       -8.372
     130.0      +0.208       -8.198
     140.0      +0.375       -8.062
     150.0      +0.479       -7.854
     160.0      +0.500       -7.664
     170.0      +0.479       -7.500
     180.0      +0.438       -7.333
     190.0      +0.354       -7.128
     200.0      +0.208       -7.021
     210.0      +0.000       -6.862
     220.0      -0.188       -6.784
     230.0      -0.375       -6.727
     240.0      -0.646       -6.656
     250.0      -0.917       -6.630
     260.0      -1.208       -6.583
     270.0      -1.521       -6.529
     280.0      -1.875       -6.500
     290.0      -2.167       -6.531
     300.0      -2.458       -6.534
     310.0      -2.750       -6.521
     320.0      -2.979       -6.583
     330.0      -3.167       -6.641
     340.0      -3.333       -6.693
     350.0      -3.375       -6.812
  alpha=10.0
       deg   g=l0-l180   h=l90-l270
       0.0     -10.255       -3.820
      10.0      -9.865       -4.536
      20.0      -9.479       -5.305
      30.0      -9.167       -6.062
      40.0      -8.896       -6.820
      50.0      -8.375       -7.490
      60.0      -7.187       -8.517
      70.0      -5.531       -9.587
      80.0      -3.458      -10.402
      90.0      -1.104      -10.483
     100.0      +0.896      -10.124
     110.0      +2.188       -9.501
     120.0      +3.115       -8.631
     130.0      +3.875       -8.010
     140.0      +4.490       -7.516
     150.0      +5.000       -7.292
     160.0      +5.474       -7.089
     170.0      +5.484       -6.828
     180.0      +4.844       -6.266
     190.0      +3.906       -5.698
     200.0      +3.010       -5.229
     210.0      +2.250       -4.854
     220.0      +1.521       -4.578
     230.0      +0.792       -4.417
     240.0      -0.010       -4.292
     250.0      -0.792       -4.161
     260.0      -1.771       -3.974
     270.0      -2.896       -3.693
     280.0      -4.354       -3.307
     290.0      -5.906       -2.917
     300.0      -7.583       -2.552
     310.0      -9.115       -2.229
     320.0     -10.279       -2.057
     330.0     -10.836       -2.156
     340.0     -10.953       -2.568
     350.0     -10.685       -3.078
