Model: microsoft/Phi-3-mini-4k-instruct
L24H17 plane (SV1, SV2): sigma_1=5.372  sigma_2=5.115
tokens: 'month'=4098  'hour'=7234

BASELINE:
  neutral: -1.201
  plus: +8.680
  minus: -6.832

SWEEP alpha=1.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    -0.570    +9.281    -5.918
   15.0 |    -0.631    +9.251    -6.018
   30.0 |    -0.730    +9.181    -6.169
   45.0 |    -0.861    +9.077    -6.361
   60.0 |    -1.015    +8.946    -6.584
   75.0 |    -1.186    +8.796    -6.825
   90.0 |    -1.362    +8.637    -7.070
  105.0 |    -1.531    +8.480    -7.300
  120.0 |    -1.683    +8.335    -7.501
  135.0 |    -1.804    +8.212    -7.658
  150.0 |    -1.887    +8.119    -7.759
  165.0 |    -1.922    +8.063    -7.798
  180.0 |    -1.908    +8.047    -7.771
  195.0 |    -1.844    +8.073    -7.679
  210.0 |    -1.736    +8.140    -7.528
  225.0 |    -1.592    +8.243    -7.325
  240.0 |    -1.423    +8.375    -7.084
  255.0 |    -1.241    +8.529    -6.824
  270.0 |    -1.059    +8.692    -6.563
  285.0 |    -0.892    +8.853    -6.324
  300.0 |    -0.749    +9.001    -6.125
  315.0 |    -0.641    +9.125    -5.979
  330.0 |    -0.574    +9.217    -5.896
  345.0 |    -0.550    +9.270    -5.876
  fit: amp=0.686  phase=-12.8 deg  argmin=165.0  argmax=345.0

SWEEP alpha=3.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +0.498   +10.413    -4.322
   15.0 |    +0.309   +10.315    -4.626
   30.0 |    +0.033   +10.102    -5.028
   45.0 |    -0.321    +9.789    -5.523
   60.0 |    -0.744    +9.399    -6.111
   75.0 |    -1.224    +8.956    -6.779
   90.0 |    -1.744    +8.486    -7.492
  105.0 |    -2.275    +8.014    -8.182
  120.0 |    -2.775    +7.568    -8.779
  135.0 |    -3.192    +7.179    -9.229
  150.0 |    -3.481    +6.879    -9.507
  165.0 |    -3.610    +6.693    -9.607
  180.0 |    -3.567    +6.636    -9.534
  195.0 |    -3.358    +6.709    -9.296
  210.0 |    -3.006    +6.900    -8.893
  225.0 |    -2.539    +7.198    -8.326
  240.0 |    -1.994    +7.590    -7.601
  255.0 |    -1.410    +8.062    -6.760
  270.0 |    -0.831    +8.582    -5.896
  285.0 |    -0.304    +9.102    -5.134
  300.0 |    +0.122    +9.574    -4.569
  315.0 |    +0.414    +9.958    -4.226
  330.0 |    +0.566   +10.233    -4.091
  345.0 |    +0.588   +10.386    -4.134
  fit: amp=2.100  phase=-13.0 deg  argmin=165.0  argmax=345.0

SWEEP alpha=10.0
    deg |   neutral      plus     minus
  ----- | --------- --------- ---------
    0.0 |    +3.701   +14.266    -0.211
   15.0 |    +2.795   +13.871    -1.550
   30.0 |    +1.889   +13.060    -2.630
   45.0 |    +0.872   +12.038    -3.773
   60.0 |    -0.342   +10.952    -5.220
   75.0 |    -1.878    +9.740    -7.056
   90.0 |    -3.814    +8.240    -9.355
  105.0 |    -5.913    +6.428   -11.767
  120.0 |    -7.921    +4.478   -13.820
  135.0 |    -9.528    +2.389   -15.064
  150.0 |   -10.399    +0.568   -15.371
  165.0 |   -10.533    -0.447   -15.022
  180.0 |   -10.162    -0.762   -14.374
  195.0 |    -9.504    -0.664   -13.661
  210.0 |    -8.652    -0.293   -12.892
  225.0 |    -7.511    +0.528   -11.767
  240.0 |    -5.684    +2.211    -9.541
  255.0 |    -3.165    +4.579    -6.419
  270.0 |    -0.271    +6.988    -3.072
  285.0 |    +1.920    +9.030    -1.078
  300.0 |    +3.187   +10.530    +0.302
  315.0 |    +4.087   +11.892    +1.255
  330.0 |    +4.621   +13.232    +1.648
  345.0 |    +4.532   +14.127    +1.157
  fit: amp=7.596  phase=-13.7 deg  argmin=165.0  argmax=330.0
