condition,alpha,domain,lms,ss,icat,n_rows,skipped
baseline,0.0,gender,91.76470588235294,68.62745098039215,57.577854671280285,255,0
baseline,0.0,race,88.98128898128898,58.83575883575884,73.25694477461629,962,0
baseline,0.0,profession,90.06172839506173,61.60493827160494,69.15851242188691,810,0
baseline,0.0,religion,89.24050632911393,62.0253164556962,67.77759974363083,79,0
single_L10H9,0.5,gender,91.76470588235294,68.62745098039215,57.577854671280285,255,0
single_L10H9,0.5,race,89.03326403326403,58.62785862785863,73.66993572814778,962,0
single_L10H9,0.5,profession,90.24691358024691,60.98765432098765,70.41487578113093,810,0
single_L10H9,0.5,religion,89.24050632911393,63.29113924050633,65.51834641884312,79,0
single_L10H9,1.0,gender,91.96078431372548,69.01960784313725,56.979623221837755,255,0
single_L10H9,1.0,race,89.1891891891892,58.316008316008315,74.35522840928247,962,0
single_L10H9,1.0,profession,90.12345679012346,60.370370370370374,71.43118427069044,810,0
single_L10H9,1.0,religion,89.24050632911393,62.0253164556962,67.77759974363083,79,0
single_L10H9,1.5,gender,91.76470588235294,68.62745098039215,57.577854671280285,255,0
single_L10H9,1.5,race,88.98128898128898,58.731808731808734,73.44193705940069,962,0
single_L10H9,1.5,profession,90.12345679012346,60.123456790123456,71.876238378296,810,0
single_L10H9,1.5,religion,89.24050632911393,64.55696202531645,63.25909309405545,79,0
ensemble_K4,0.5,gender,91.17647058823529,67.45098039215686,59.35409457900807,255,0
ensemble_K4,0.5,race,88.77338877338877,57.17255717255717,76.03874464581325,962,0
ensemble_K4,0.5,profession,89.5679012345679,59.75308641975309,72.0966316110349,810,0
ensemble_K4,0.5,religion,88.60759493670886,62.0253164556962,67.2969075468675,79,0
ensemble_K4,1.0,gender,90.98039215686275,66.27450980392157,61.3671664744329,255,0
ensemble_K4,1.0,race,88.51351351351352,56.02910602910603,77.84036635387986,962,0
ensemble_K4,1.0,profession,89.69135802469135,58.888888888888886,73.74622770919068,810,0
ensemble_K4,1.0,religion,88.60759493670886,63.29113924050633,65.05367729530523,79,0
ensemble_K4,1.5,gender,90.0,64.70588235294117,63.529411764705884,255,0
ensemble_K4,1.5,race,88.04573804573805,53.74220374220374,81.45603623774102,962,0
ensemble_K4,1.5,profession,89.07407407407408,58.39506172839506,74.11842706904436,810,0
ensemble_K4,1.5,religion,87.9746835443038,59.49367088607595,71.27062970677777,79,0
