condition,alpha,domain,lms,ss,icat,n_rows,skipped
baseline,0.0,gender,92.54901960784314,73.33333333333333,49.359477124183016,255,0
baseline,0.0,race,93.03534303534303,63.305613305613306,68.27749707167587,962,0
baseline,0.0,profession,92.65432098765432,66.91358024691358,61.311995122694704,810,0
baseline,0.0,religion,91.13924050632912,59.49367088607595,73.8343214228489,79,0
single_L26H14,5.0,gender,92.15686274509804,72.15686274509804,51.31872356785851,255,0
single_L26H14,5.0,race,93.08731808731808,62.474012474012476,69.86387074744663,962,0
single_L26H14,5.0,profession,92.71604938271605,66.04938271604938,62.95534217344918,810,0
single_L26H14,5.0,religion,91.77215189873418,60.75949367088607,72.02371414837367,79,0
single_L26H14,10.0,gender,92.3529411764706,72.54901960784314,50.703575547866215,255,0
single_L26H14,10.0,race,92.82744282744282,62.681912681912685,69.28285233898538,962,0
single_L26H14,10.0,profession,92.53086419753086,66.66666666666667,61.6872427983539,810,0
single_L26H14,10.0,religion,90.50632911392405,60.75949367088607,71.03028360839609,79,0
single_L26H14,20.0,gender,91.56862745098039,72.54901960784314,50.27297193387159,255,0
single_L26H14,20.0,race,91.16424116424116,61.85031185031185,69.55774741637528,962,0
single_L26H14,20.0,profession,89.62962962962963,65.18518518518519,62.40877914951989,810,0
single_L26H14,20.0,religion,88.60759493670886,60.75949367088607,69.54013779842975,79,0
ensemble_K4,5.0,gender,92.15686274509804,74.11764705882354,47.70472895040368,255,0
ensemble_K4,5.0,race,92.67151767151768,59.45945945945946,75.13906838231162,962,0
ensemble_K4,5.0,profession,92.8395061728395,65.30864197530865,64.41457094955037,810,0
ensemble_K4,5.0,religion,90.50632911392405,62.0253164556962,68.73898413715752,79,0
ensemble_K4,10.0,gender,90.58823529411765,71.76470588235294,51.155709342560556,255,0
ensemble_K4,10.0,race,91.89189189189189,56.444906444906444,80.04719896611789,962,0
ensemble_K4,10.0,profession,90.98765432098766,63.45679012345679,66.49961896052432,810,0
ensemble_K4,10.0,religion,91.77215189873418,62.0253164556962,69.70036853068419,79,0
ensemble_K4,20.0,gender,85.88235294117646,67.84313725490196,55.23414071510957,255,0
ensemble_K4,20.0,race,85.70686070686071,51.975051975051976,82.3213506165689,962,0
ensemble_K4,20.0,profession,84.87654320987654,57.901234567901234,71.46395366559976,810,0
ensemble_K4,20.0,religion,87.34177215189874,58.22784810126582,72.9690754686749,79,0
