Model: meta-llama/Llama-3.2-3B
Ensemble: K=4  alphas=[5.0, 10.0, 20.0]  domains=['gender', 'race', 'profession', 'religion']
Ensemble heads:
   L22H12 SV(2,3) phi=+13.2  slope=0.461  passed=True
   L22H14 SV(0,3) phi=+52.0  slope=0.446  passed=True
   L26H23 SV(0,1) phi=+39.4  slope=0.452  passed=True
   L26H21 SV(0,1) phi=-43.9  slope=0.396  passed=True

cond                    alpha domain           LMS      SS    ICAT
----------------------------------------------------------------
baseline                 0.00 gender         92.55   73.33   49.36
baseline                 0.00 race           93.04   63.31   68.28
baseline                 0.00 profession     92.65   66.91   61.31
baseline                 0.00 religion       91.14   59.49   73.83
single_L26H14            5.00 gender         92.16   72.16   51.32
single_L26H14            5.00 race           93.09   62.47   69.86
single_L26H14            5.00 profession     92.72   66.05   62.96
single_L26H14            5.00 religion       91.77   60.76   72.02
single_L26H14           10.00 gender         92.35   72.55   50.70
single_L26H14           10.00 race           92.83   62.68   69.28
single_L26H14           10.00 profession     92.53   66.67   61.69
single_L26H14           10.00 religion       90.51   60.76   71.03
single_L26H14           20.00 gender         91.57   72.55   50.27
single_L26H14           20.00 race           91.16   61.85   69.56
single_L26H14           20.00 profession     89.63   65.19   62.41
single_L26H14           20.00 religion       88.61   60.76   69.54
ensemble_K4              5.00 gender         92.16   74.12   47.70
ensemble_K4              5.00 race           92.67   59.46   75.14
ensemble_K4              5.00 profession     92.84   65.31   64.41
ensemble_K4              5.00 religion       90.51   62.03   68.74
ensemble_K4             10.00 gender         90.59   71.76   51.16
ensemble_K4             10.00 race           91.89   56.44   80.05
ensemble_K4             10.00 profession     90.99   63.46   66.50
ensemble_K4             10.00 religion       91.77   62.03   69.70
ensemble_K4             20.00 gender         85.88   67.84   55.23
ensemble_K4             20.00 race           85.71   51.98   82.32
ensemble_K4             20.00 profession     84.88   57.90   71.46
ensemble_K4             20.00 religion       87.34   58.23   72.97
