condition,domain,alpha,lms,ss,icat,lms_num,lms_den,ss_num,ss_den,n_rows,skipped
baseline,gender,0.0,92.54901960784314,73.33333333333333,49.359477124183016,472,510,187,255,255,0
baseline,race,0.0,93.03534303534303,63.305613305613306,68.27749707167587,1790,1924,609,962,962,0
baseline,profession,0.0,92.65432098765432,66.91358024691358,61.311995122694704,1501,1620,542,810,810,0
compass,gender,1.0,92.15686274509804,72.94117647058823,49.87312572087659,470,510,186,255,255,0
compass,race,1.0,93.03534303534303,63.513513513513516,67.89065572849356,1790,1924,611,962,962,0
compass,profession,1.0,92.65432098765432,67.4074074074074,60.39689071787838,1501,1620,546,810,810,0
compass,gender,1.5,92.15686274509804,73.33333333333333,49.15032679738563,470,510,187,255,255,0
compass,race,1.5,92.98336798336798,62.88981288981289,69.01260367996335,1789,1924,605,962,962,0
compass,profession,1.5,92.53086419753086,67.1604938271605,60.773357719859774,1499,1620,544,810,810,0
actadd,gender,1.0,91.96078431372548,73.33333333333333,49.04575163398693,469,510,187,255,255,0
actadd,race,1.0,92.93139293139293,62.99376299376299,68.78082304277731,1788,1924,606,962,962,0
actadd,profession,1.0,92.77777777777777,66.91358024691358,61.39368998628257,1503,1620,542,810,810,0
