condition,domain,alpha,lms,ss,icat,lms_num,lms_den,ss_num,ss_den,n_rows,skipped
baseline,gender,0.0,92.74509803921569,73.33333333333333,49.46405228758171,473,510,187,255,255,0
baseline,race,0.0,92.35966735966736,61.642411642411645,70.85388202851819,1777,1924,593,962,962,0
baseline,profession,0.0,92.03703703703704,67.65432098765432,59.540009144947426,1491,1620,548,810,810,0
compass,gender,1.0,92.94117647058823,73.72549019607843,48.83967704728951,474,510,188,255,255,0
compass,race,1.0,92.41164241164242,62.05821205821206,70.12525879469747,1778,1924,597,962,962,0
compass,profession,1.0,91.60493827160494,68.64197530864197,57.45099832342631,1484,1620,556,810,810,0
compass,gender,1.5,92.74509803921569,73.72549019607843,48.73663975394081,473,510,188,255,255,0
compass,race,1.5,92.51559251559252,61.85031185031185,70.58882006906956,1780,1924,595,962,962,0
compass,profession,1.5,91.54320987654322,68.51851851851852,57.63831732967535,1483,1620,555,810,810,0
actadd,gender,1.0,92.74509803921569,69.80392156862744,56.01076509034988,473,510,178,255,255,0
actadd,race,1.0,92.56756756756756,61.434511434511435,71.39826937124234,1781,1924,591,962,962,0
actadd,profession,1.0,91.72839506172839,64.44444444444444,65.22908093278464,1486,1620,522,810,810,0
