domain,multiplier,alpha,ss,n,dist50
gender,0.0,0.0,51.14503816793893,262,1.145038167938928
gender,0.25,13.816183373077282,42.36641221374046,262,7.63358778625954
gender,0.5,27.632366746154563,35.87786259541985,262,14.122137404580151
gender,0.75,41.44855011923185,31.6793893129771,262,18.3206106870229
gender,1.0,55.26473349230913,32.44274809160305,262,17.55725190839695
gender,1.25,69.08091686538641,31.6793893129771,262,18.3206106870229
gender,1.5,82.8971002384637,31.6793893129771,262,18.3206106870229
race,0.0,0.0,56.007751937984494,516,6.007751937984494
race,0.25,20.339498021387158,46.70542635658915,516,3.2945736434108497
race,0.5,40.678996042774315,39.34108527131783,516,10.65891472868217
race,0.75,61.01849406416147,35.27131782945737,516,14.728682170542633
race,1.0,81.35799208554863,31.976744186046513,516,18.023255813953487
race,1.25,101.69749010693579,28.875968992248062,516,21.124031007751938
race,1.5,122.03698812832295,27.713178294573645,516,22.286821705426355
