Model: gpt2
Primary compass: L10 H9 SV0  sigma=9.148
Extra heads: [(9, 7, 0), (11, 1, 1)]
Alphas: [0.25, 0.5, 1.0, 1.5, 2.0]
WinoGender rows: 720
Baseline PPL: 23.118

cond       L   H  SV  alpha   sigma  raw_gap  stereo_corr  stereo_delta      ppl  ppl_delta     n
----------------------------------------------------------------------------------------------------
baseline  -1  -1  -1   0.00     nan    0.913        0.603         0.745   23.118     +0.000   720
compass   10   9   0   0.25   9.148    1.877        0.515         0.645   23.118     +0.000   720
compass   10   9   0   0.50   9.148    3.099        0.428         0.575   23.118     +0.000   720
compass   10   9   0   1.00   9.148    5.737        0.185         0.249   23.118     +0.000   720
compass   10   9   0   1.50   9.148    8.327       -0.087        -0.125   23.482     +0.364   720
compass   10   9   0   2.00   9.148   10.862       -0.249        -0.486   24.228     +1.109   720
actadd    10  -1  -1   1.00     nan    8.932        0.319         0.403   23.852     +0.734   720
compass    9   7   0   1.00   9.234    0.765        0.616         0.712   23.482     +0.364   720
actadd     9  -1  -1   1.00     nan    1.553        0.378         0.423   23.118     +0.000   720
compass   11   1   1   1.00  13.351    2.381        0.592         0.740   25.390     +2.272   720
actadd    11  -1  -1   1.00     nan    7.539        0.287         0.324   24.609     +1.491   720
