Model: microsoft/Phi-3-mini-4k-instruct
Primary compass: L28 H1 SV0  sigma=13.670
Extra heads: [(27, 16, 1), (24, 10, 0)]
Alphas: [0.25, 0.5, 1.0, 1.5, 2.0]
WinoGender rows: 720
Baseline PPL: 5.340

cond       L   H  SV  alpha   sigma  raw_gap  stereo_corr  stereo_delta      ppl  ppl_delta     n
----------------------------------------------------------------------------------------------------
baseline  -1  -1  -1   0.00     nan    1.151        0.638         1.086    5.340     +0.000   720
compass   28   1   0   0.25  13.670    1.395        0.640         1.026    5.346     +0.006   720
compass   28   1   0   0.50  13.670    1.743        0.619         0.881    5.346     +0.006   720
compass   28   1   0   1.00  13.670    2.713        0.468         0.577    5.346     +0.006   720
compass   28   1   0   1.50  13.670    3.937       -0.017         0.102    5.358     +0.018   720
compass   28   1   0   2.00  13.670    5.288       -0.303        -0.385    5.376     +0.036   720
actadd    28  -1  -1   1.00     nan    3.506        0.435         0.993    5.479     +0.139   720
compass   27  16   1   1.00  10.268    0.757        0.584         0.942    5.340     +0.000   720
actadd    27  -1  -1   1.00     nan    2.066        0.424         0.691    5.467     +0.127   720
compass   24  10   0   1.00   9.415    1.127        0.645         1.086    5.418     +0.078   720
actadd    24  -1  -1   1.00     nan    9.954        0.278         0.299    5.780     +0.440   720
